row_id	path	bytes	lines	sha256	git_state	worktree_state	type	runtime_package_reachability	capability	disposition	ownership	evidence_id	next_action
F001	.gitignore	2997	180	A1CA0C96EA97058CD32DA9C5479F970BFD972BEEB19895F4C0EDDEDE03E26A8C	tracked	clean	gitignore	not-runtime|package-guard	INTERNAL_ONLY	REUSE_WITH_FIXES	INTERNAL_TOOLING	P2-PATH	extend-positive-allowlist-and-secret-runtime-guards
F002	api/src/config.ts	1183	37	CE601DF711E050B3459C8173CC014BC0BEF102B74C43D0C701282C33D1288DB6	tracked	clean	ts	active-node-runtime|must-not-package	REQUIRED	PORT	BASELINE_SHARED	P2-PATH	port-with-recorded-defect-fixes-and-golden-tests
F003	api/src/container.ts	689	31	8B7CB9430134E8A1A409FC5526F2F59CA096D890FEEB95A01524A3B922D807BB	tracked	clean	ts	active-node-runtime|must-not-package	REQUIRED	PORT	BASELINE_SHARED	P2-PATH	port-with-recorded-defect-fixes-and-golden-tests
F004	api/src/plugins/requestLogging.ts	910	24	6D9BA22407828923F9311245DEFA24471BC0423F712A0773FB14890CB0B2D427	tracked	clean	ts	active-node-runtime|must-not-package	REQUIRED	PORT	BASELINE_SHARED	P2-PATH	port-with-recorded-defect-fixes-and-golden-tests
F005	api/src/queries/course_search.ts	25161	795	4EC41D340DA1696DE5EED7D39CACE52B86FE8770E345AD0EA34EEC0247289A1F	tracked	clean	ts	active-node-runtime|must-not-package	REQUIRED	PORT	BASELINE_SHARED	P2-PATH	port-with-recorded-defect-fixes-and-golden-tests
F006	api/src/queries/filters.ts	10733	316	7EF016EDECF515C8BA4C329DAC02588DC604D23EDA7960E8398E438517C66CA0	tracked	clean	ts	active-node-runtime|must-not-package	REQUIRED	PORT	BASELINE_SHARED	P2-PATH	port-with-recorded-defect-fixes-and-golden-tests
F007	api/src/routes/admin.ts	8601	247	A9ABBC875D7AE234702C964D29FB3CCD8478B84AE6D348ECEA7405B52511A26D	tracked	clean	ts	registered-mail-runtime|must-not-package	EXCLUDED	REMOVE	HISTORICAL_EVIDENCE	P2-PATH	remove-mail-admin-route-tests-and-config-surface
F008	api/src/routes/courses.ts	4939	150	7F7D93A4CDF055214D55D0F2FE2F48E5992E36F59E1AB4060C525678684A39D9	tracked	clean	ts	active-node-runtime|must-not-package	REQUIRED	PORT	BASELINE_SHARED	P2-PATH	port-with-recorded-defect-fixes-and-golden-tests
F009	api/src/routes/fetch.ts	5501	218	150C1B563A3FAFAA5F2A3674247768D0E7F62D313D1D4BD31BEB23FE37FF320E	tracked	clean	ts	registered-local-admin-runtime|must-not-package	REQUIRED	PORT	LOCAL_ONLY	P2-PATH	replace-destructive-manual-job-with-safe-catalog-refresh-control
F010	api/src/routes/filters.ts	546	19	C3686B0AD0A86DEACEF2D53EB339A795ECB04069B630A904F7AF64B9F0A55288	tracked	clean	ts	active-node-runtime|must-not-package	REQUIRED	PORT	BASELINE_SHARED	P2-PATH	port-with-recorded-defect-fixes-and-golden-tests
F011	api/src/routes/health.ts	2961	102	C040D22003ACBC881ABCFA1A8AE31D8AE394AAF149E7DDE18735DB5DEB984AD3	tracked	clean	ts	active-node-runtime|must-not-package	REQUIRED	PORT	BASELINE_SHARED	P2-PATH	port-with-recorded-defect-fixes-and-golden-tests
F012	api/src/routes/notifications.local.ts	7120	250	E303D8C02F4D7AAD40F6918FD7757A05C2BFC08EA1E0209E0FBD6E63CAC5E194	tracked	clean	ts	registered-legacy-watch-runtime|must-not-package	MIXED_SEE_02	SPLIT	BASELINE_SHARED	P2-PATH	extract-section-contract-and-rewrite-as-live-websocket-watch
F013	api/src/routes/sections.ts	4617	144	AF356D9BA9DD01CA38A975139842BC6EAF1263FDE8E9087F19F0F9DFD77FDAC5	tracked	clean	ts	registered-stub-runtime|must-not-package	REQUIRED	REWRITE	BASELINE_SHARED	P2-PATH	replace-stub-with-shared-section-search-and-detail-contract
F014	api/src/routes/sharedSchemas.ts	1627	58	640FF1CDAECCF8AE5869925AE21B61F46DAD9F942A86367624240A00C2086EE4	tracked	clean	ts	active-node-runtime|must-not-package	REQUIRED	PORT	BASELINE_SHARED	P2-PATH	port-with-recorded-defect-fixes-and-golden-tests
F015	api/src/routes/subscriptions.ts	19974	695	60F30B0E11CA3748D462512EC07E91E89EB99CD742DC8787372EEA0B2EE77395	tracked	clean	ts	registered-legacy-watch-runtime|must-not-package	MIXED_SEE_02	SPLIT	BASELINE_SHARED	P2-PATH	extract-section-contract-and-rewrite-as-live-websocket-watch
F016	api/src/server.ts	3892	114	865EA4A050E0F7F0347C93272ADD9F619CC171010AFC685ED2C0323B5C1FF420	tracked	clean	ts	direct-server-entry|must-not-package	MIXED_SEE_02	SPLIT	BASELINE_SHARED	P2-PATH	port-lifecycle-errors-and-required-routes-remove-mail-add-static-ui-and-websocket
F017	api/src/services/fetchRunner.ts	9050	268	42C0D9875832F74D8029E79F884DAB673292C9E2E71FE1503D360D0FF279FA6D	tracked	clean	ts	active-node-runtime|must-not-package	REQUIRED	PORT	BASELINE_SHARED	P2-PATH	port-with-recorded-defect-fixes-and-golden-tests
