request_id	term_id	year	term	campus	url	started_at_utc	completed_at_utc	http_status	duration_ms	bytes	decoded_bytes	content_type	content_encoding	response_date	etag	last_modified	cache_control	age	wire_sha256	body_sha256	top_level_rows	outcome	error_class	raw_relative_path	notes
CAT-C001	92026	2026	9	NB	https://classes.rutgers.edu/soc/api/courses.json?year=2026&term=9&campus=NB			200	13500				gzip									FAILURE	CLIENT_GZIP_NOT_DECODED		HTTP 200 inferred from successful urlopen branch; exact timing/headers/body metrics unavailable after pre-ledger client crash; tool runtime 13.5s; no raw saved; replaced only by CAT-C001-R1 under amendment A001
CAT-C001-R1	92026	2026	9	NB	https://classes.rutgers.edu/soc/api/courses.json?year=2026&term=9&campus=NB	2026-07-12T18:54:48.875889Z	2026-07-12T18:55:00.976846Z	200	12100.974	892055	20920953	application/json	gzip	Sun, 12 Jul 2026 18:54:52 GMT	47890475		max-age=900		433D09D3D943B782D0C804FF4A0998EF84E544A7FE11715ED459181B53F03D42	173C56408B133FFF8CCC21B4D609402F65564C568285771860A6F20C02CDD04D	4445	SUCCESS		data/staging/p3-rutgers-evidence-20260713/catalog/CAT-C001-R1_92026_NB_courses.json	
CAT-C002	92026	2026	9	NK	https://classes.rutgers.edu/soc/api/courses.json?year=2026&term=9&campus=NK	2026-07-12T18:55:07.005168Z	2026-07-12T18:55:08.933143Z	200	1927.98	198961	4852179	application/json	gzip	Sun, 12 Jul 2026 18:55:10 GMT	1696340957		max-age=900		729F6A8377341122F1509AEDCA3EAA3F8BD35C99C1D93492358D825052B719AC	6E0F260450C7A6D86C36EB0FB57E79FC55601A90D10043F96E7C94C33B7C869F	1333	SUCCESS		data/staging/p3-rutgers-evidence-20260713/catalog/CAT-C002_92026_NK_courses.json	
CAT-C003	92026	2026	9	CM	https://classes.rutgers.edu/soc/api/courses.json?year=2026&term=9&campus=CM	2026-07-12T18:55:13.972940Z	2026-07-12T18:55:17.506014Z	200	3533.081	153308	3354814	application/json	gzip	Sun, 12 Jul 2026 18:55:17 GMT	1064633893		max-age=900		7C46F7BE142BC77B84F0E9466FA607AE061D02D59E3BD034356CB6E3A539277A	267B878184C36C2AE42942CC8C1B937CBF78D0A9A2820010A76819E9555745C0	969	SUCCESS		data/staging/p3-rutgers-evidence-20260713/catalog/CAT-C003_92026_CM_courses.json	
CAT-C004	92026	2026	9	ONLINE_NB	https://classes.rutgers.edu/soc/api/courses.json?year=2026&term=9&campus=ONLINE_NB	2026-07-12T18:55:22.540236Z	2026-07-12T18:55:24.143130Z	200	1602.933	125316	2727357	application/json	gzip	Sun, 12 Jul 2026 18:55:25 GMT	491396253		max-age=900		B57BC467BD1F06A96AB1197C5EA4DBEC298B6ECFDB43398833A4C191CC6BD992	5B35B5C6B1981C4532810F96EE0D38E63344CBE7D88751BBF107570A3220BD79	838	SUCCESS		data/staging/p3-rutgers-evidence-20260713/catalog/CAT-C004_92026_ONLINE_NB_courses.json	
CAT-C005	92026	2026	9	ONLINE_NK	https://classes.rutgers.edu/soc/api/courses.json?year=2026&term=9&campus=ONLINE_NK	2026-07-12T18:55:29.164291Z	2026-07-12T18:55:30.191689Z	200	1027.406	22859	490412	application/json	gzip	Sun, 12 Jul 2026 18:55:32 GMT	509225992		max-age=900		7418735B91623951368D6D2D85E728B7922643352CFB2A3E92ACD16BA35D1D96	B93B795BF214E80D88758FF8307B195F042AF85B874172DAFE6E7EE8477A345E	199	SUCCESS		data/staging/p3-rutgers-evidence-20260713/catalog/CAT-C005_92026_ONLINE_NK_courses.json	
CAT-C006	92026	2026	9	ONLINE_CM	https://classes.rutgers.edu/soc/api/courses.json?year=2026&term=9&campus=ONLINE_CM	2026-07-12T18:55:35.208293Z	2026-07-12T18:55:36.387472Z	200	1179.182	32857	655131	application/json	gzip	Sun, 12 Jul 2026 18:55:38 GMT	313253283		max-age=900		4B4F71272D2DEE57830D636C29E1580B920A14FBCE90E213AD1D4B3005F0EE39	7914E8318D55549F419A78B660B6847932C4CB905CEDDA71A4DB3BF7EC9AEC4A	219	SUCCESS		data/staging/p3-rutgers-evidence-20260713/catalog/CAT-C006_92026_ONLINE_CM_courses.json	
CAT-C007	92026	2026	9	B	https://classes.rutgers.edu/soc/api/courses.json?year=2026&term=9&campus=B	2026-07-12T18:55:41.394406Z	2026-07-12T18:55:42.448766Z	200	1054.361	22	2	application/json	gzip	Sun, 12 Jul 2026 18:55:44 GMT	1798732918		max-age=900		2E4F23DE4086A47E7D4F246638BBE838E34A17B8DE971D719F93EF940AD46F2C	4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945	0	SUCCESS		data/staging/p3-rutgers-evidence-20260713/catalog/CAT-C007_92026_B_courses.json	
CAT-C008	92026	2026	9	CC	https://classes.rutgers.edu/soc/api/courses.json?year=2026&term=9&campus=CC	2026-07-12T18:55:47.462062Z	2026-07-12T18:55:48.670727Z	200	1208.668	4843	103159	application/json	gzip	Sun, 12 Jul 2026 18:55:50 GMT	2078916632		max-age=900		5EBFD42AD8B0F8987C11B960D24069C438E2A2F1F162C887424F2068F5BB2771	91D2CD9930E4A20971C42B8981897EA880755935A4E4C562C8A2AA6B479502B4	19	SUCCESS		data/staging/p3-rutgers-evidence-20260713/catalog/CAT-C008_92026_CC_courses.json	
CAT-C009	92026	2026	9	H	https://classes.rutgers.edu/soc/api/courses.json?year=2026&term=9&campus=H	2026-07-12T18:55:53.673647Z	2026-07-12T18:55:54.782156Z	200	1108.517	1195	6155	application/json	gzip	Sun, 12 Jul 2026 18:55:56 GMT	828291103		max-age=900		7C3D46E4C2CB367243CCC03CA4956B544AC473812D62606781E2DBA91F7DCAC9	E061CC32BEAE69F71871BFB0A84FF0E554D4C00559B33EA222977AE8DFD519FC	3	SUCCESS		data/staging/p3-rutgers-evidence-20260713/catalog/CAT-C009_92026_H_courses.json	
