evidence_id	request_id	term_id	campus	raw_relative_path	body_sha256	observed_at_utc	observation_strength	fixture_path	claims_supported	limitations
CAT-E001	CAT-C001-R1	92026	NB	data/staging/p3-rutgers-evidence-20260713/catalog/CAT-C001-R1_92026_NB_courses.json	173C56408B133FFF8CCC21B4D609402F65564C568285771860A6F20C02CDD04D	2026-07-12T18:55:00.976846Z	OBSERVED_ONCE	<NONE_FULL_RAW_HASH_ONLY>	CATALOG_SCOPE_COVERAGE|FIELD_PROFILE|IDENTITY_PROFILE|FILTER_SOURCE_PROFILE	single_observation_per_scope;not_an_SLA;Open_semantics_not_tested
CAT-E002	CAT-C002	92026	NK	data/staging/p3-rutgers-evidence-20260713/catalog/CAT-C002_92026_NK_courses.json	6E0F260450C7A6D86C36EB0FB57E79FC55601A90D10043F96E7C94C33B7C869F	2026-07-12T18:55:08.933143Z	OBSERVED_ONCE	<NONE_FULL_RAW_HASH_ONLY>	CATALOG_SCOPE_COVERAGE|FIELD_PROFILE|IDENTITY_PROFILE|FILTER_SOURCE_PROFILE	single_observation_per_scope;not_an_SLA;Open_semantics_not_tested
CAT-E003	CAT-C003	92026	CM	data/staging/p3-rutgers-evidence-20260713/catalog/CAT-C003_92026_CM_courses.json	267B878184C36C2AE42942CC8C1B937CBF78D0A9A2820010A76819E9555745C0	2026-07-12T18:55:17.506014Z	OBSERVED_ONCE	<NONE_FULL_RAW_HASH_ONLY>	CATALOG_SCOPE_COVERAGE|FIELD_PROFILE|IDENTITY_PROFILE|FILTER_SOURCE_PROFILE	single_observation_per_scope;not_an_SLA;Open_semantics_not_tested
CAT-E004	CAT-C004	92026	ONLINE_NB	data/staging/p3-rutgers-evidence-20260713/catalog/CAT-C004_92026_ONLINE_NB_courses.json	5B35B5C6B1981C4532810F96EE0D38E63344CBE7D88751BBF107570A3220BD79	2026-07-12T18:55:24.143130Z	OBSERVED_ONCE	<NONE_FULL_RAW_HASH_ONLY>	CATALOG_SCOPE_COVERAGE|FIELD_PROFILE|IDENTITY_PROFILE|FILTER_SOURCE_PROFILE	single_observation_per_scope;not_an_SLA;Open_semantics_not_tested
CAT-E005	CAT-C005	92026	ONLINE_NK	data/staging/p3-rutgers-evidence-20260713/catalog/CAT-C005_92026_ONLINE_NK_courses.json	B93B795BF214E80D88758FF8307B195F042AF85B874172DAFE6E7EE8477A345E	2026-07-12T18:55:30.191689Z	OBSERVED_ONCE	<NONE_FULL_RAW_HASH_ONLY>	CATALOG_SCOPE_COVERAGE|FIELD_PROFILE|IDENTITY_PROFILE|FILTER_SOURCE_PROFILE	single_observation_per_scope;not_an_SLA;Open_semantics_not_tested
CAT-E006	CAT-C006	92026	ONLINE_CM	data/staging/p3-rutgers-evidence-20260713/catalog/CAT-C006_92026_ONLINE_CM_courses.json	7914E8318D55549F419A78B660B6847932C4CB905CEDDA71A4DB3BF7EC9AEC4A	2026-07-12T18:55:36.387472Z	OBSERVED_ONCE	<NONE_FULL_RAW_HASH_ONLY>	CATALOG_SCOPE_COVERAGE|FIELD_PROFILE|IDENTITY_PROFILE|FILTER_SOURCE_PROFILE	single_observation_per_scope;not_an_SLA;Open_semantics_not_tested
CAT-E007	CAT-C007	92026	B	data/staging/p3-rutgers-evidence-20260713/catalog/CAT-C007_92026_B_courses.json	4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945	2026-07-12T18:55:42.448766Z	OBSERVED_ONCE	<NONE_FULL_RAW_HASH_ONLY>	CATALOG_SCOPE_COVERAGE|FIELD_PROFILE|IDENTITY_PROFILE|FILTER_SOURCE_PROFILE	single_observation_per_scope;not_an_SLA;Open_semantics_not_tested
CAT-E008	CAT-C008	92026	CC	data/staging/p3-rutgers-evidence-20260713/catalog/CAT-C008_92026_CC_courses.json	91D2CD9930E4A20971C42B8981897EA880755935A4E4C562C8A2AA6B479502B4	2026-07-12T18:55:48.670727Z	OBSERVED_ONCE	<NONE_FULL_RAW_HASH_ONLY>	CATALOG_SCOPE_COVERAGE|FIELD_PROFILE|IDENTITY_PROFILE|FILTER_SOURCE_PROFILE	single_observation_per_scope;not_an_SLA;Open_semantics_not_tested
CAT-E009	CAT-C009	92026	H	data/staging/p3-rutgers-evidence-20260713/catalog/CAT-C009_92026_H_courses.json	E061CC32BEAE69F71871BFB0A84FF0E554D4C00559B33EA222977AE8DFD519FC	2026-07-12T18:55:54.782156Z	OBSERVED_ONCE	<NONE_FULL_RAW_HASH_ONLY>	CATALOG_SCOPE_COVERAGE|FIELD_PROFILE|IDENTITY_PROFILE|FILTER_SOURCE_PROFILE	single_observation_per_scope;not_an_SLA;Open_semantics_not_tested
CAT-E010	CAT-C010	92026	CU	data/staging/p3-rutgers-evidence-20260713/catalog/CAT-C010_92026_CU_courses.json	4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945	2026-07-12T18:56:07.394784Z	OBSERVED_ONCE	<NONE_FULL_RAW_HASH_ONLY>	CATALOG_SCOPE_COVERAGE|FIELD_PROFILE|IDENTITY_PROFILE|FILTER_SOURCE_PROFILE	single_observation_per_scope;not_an_SLA;Open_semantics_not_tested
CAT-E011	CAT-C011	92026	MC	data/staging/p3-rutgers-evidence-20260713/catalog/CAT-C011_92026_MC_courses.json	4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945	2026-07-12T18:56:13.726647Z	OBSERVED_ONCE	<NONE_FULL_RAW_HASH_ONLY>	CATALOG_SCOPE_COVERAGE|FIELD_PROFILE|IDENTITY_PROFILE|FILTER_SOURCE_PROFILE	single_observation_per_scope;not_an_SLA;Open_semantics_not_tested
CAT-E012	CAT-C012	92026	L	data/staging/p3-rutgers-evidence-20260713/catalog/CAT-C012_92026_L_courses.json	6D8BA72CBFD5CC9EB5659DC84D4E463B071A8F4239DB1E3561A6B55F0F751717	2026-07-12T18:56:19.876195Z	OBSERVED_ONCE	<NONE_FULL_RAW_HASH_ONLY>	CATALOG_SCOPE_COVERAGE|FIELD_PROFILE|IDENTITY_PROFILE|FILTER_SOURCE_PROFILE	single_observation_per_scope;not_an_SLA;Open_semantics_not_tested
CAT-E013	CAT-C013	92026	AC	data/staging/p3-rutgers-evidence-20260713/catalog/CAT-C013_92026_AC_courses.json	8944FD56B429B620F5D171F88C95B9F23C1E3E16D87CBFFA565A4A51AE432156	2026-07-12T18:56:25.976218Z	OBSERVED_ONCE	<NONE_FULL_RAW_HASH_ONLY>	CATALOG_SCOPE_COVERAGE|FIELD_PROFILE|IDENTITY_PROFILE|FILTER_SOURCE_PROFILE	single_observation_per_scope;not_an_SLA;Open_semantics_not_tested
CAT-E014	CAT-C014	92026	J	data/staging/p3-rutgers-evidence-20260713/catalog/CAT-C014_92026_J_courses.json	4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945	2026-07-12T18:56:32.903828Z	OBSERVED_ONCE	<NONE_FULL_RAW_HASH_ONLY>	CATALOG_SCOPE_COVERAGE|FIELD_PROFILE|IDENTITY_PROFILE|FILTER_SOURCE_PROFILE	single_observation_per_scope;not_an_SLA;Open_semantics_not_tested
CAT-E015	CAT-C015	72026	NB	data/staging/p3-rutgers-evidence-20260713/catalog/CAT-C015_72026_NB_courses.json	C3176058526B88A1FB198E850246FCF6F797E8D0ECF55BE04EBF2FD9D87056A5	2026-07-12T18:56:40.451958Z	OBSERVED_ONCE	<NONE_FULL_RAW_HASH_ONLY>	CATALOG_SCOPE_COVERAGE|FIELD_PROFILE|IDENTITY_PROFILE|FILTER_SOURCE_PROFILE	single_observation_per_scope;not_an_SLA;Open_semantics_not_tested
CAT-E016	CAT-C016	72026	NK	data/staging/p3-rutgers-evidence-20260713/catalog/CAT-C016_72026_NK_courses.json	F261F714F55BF625B2E62F8CFD8A5618E90D158B36860FCBE60B8892A75ADEE6	2026-07-12T18:56:46.913411Z	OBSERVED_ONCE	<NONE_FULL_RAW_HASH_ONLY>	CATALOG_SCOPE_COVERAGE|FIELD_PROFILE|IDENTITY_PROFILE|FILTER_SOURCE_PROFILE	single_observation_per_scope;not_an_SLA;Open_semantics_not_tested
CAT-E017	CAT-C017	72026	CM	data/staging/p3-rutgers-evidence-20260713/catalog/CAT-C017_72026_CM_courses.json	B26AF4D382AE119B39891513E0F9DAE369033CA43179155DA78C158F4A4C376D	2026-07-12T18:56:53.364726Z	OBSERVED_ONCE	<NONE_FULL_RAW_HASH_ONLY>	CATALOG_SCOPE_COVERAGE|FIELD_PROFILE|IDENTITY_PROFILE|FILTER_SOURCE_PROFILE	single_observation_per_scope;not_an_SLA;Open_semantics_not_tested
