request_id	term_id	campus	courses	sections	meetings	instructor_assignments	sections_without_meetings	sections_missing_index	duplicate_composite_keys	duplicate_composite_rows	decoded_bytes	duration_ms	body_sha256
CAT-C001-R1	92026	NB	4445	11933	17277	10336	0	0	9	9	20920953	12100.974	173C56408B133FFF8CCC21B4D609402F65564C568285771860A6F20C02CDD04D
CAT-C002	92026	NK	1333	2633	3835	2078	0	0	0	0	4852179	1927.98	6E0F260450C7A6D86C36EB0FB57E79FC55601A90D10043F96E7C94C33B7C869F
CAT-C003	92026	CM	969	1678	2209	1528	0	0	0	0	3354814	3533.081	267B878184C36C2AE42942CC8C1B937CBF78D0A9A2820010A76819E9555745C0
CAT-C004	92026	ONLINE_NB	838	1420	1496	1166	0	0	9	9	2727357	1602.933	5B35B5C6B1981C4532810F96EE0D38E63344CBE7D88751BBF107570A3220BD79
CAT-C005	92026	ONLINE_NK	199	225	229	206	0	0	0	0	490412	1027.406	B93B795BF214E80D88758FF8307B195F042AF85B874172DAFE6E7EE8477A345E
CAT-C006	92026	ONLINE_CM	219	299	300	269	0	0	0	0	655131	1179.182	7914E8318D55549F419A78B660B6847932C4CB905CEDDA71A4DB3BF7EC9AEC4A
CAT-C007	92026	B	0	0	0	0	0	0	0	0	2	1054.361	4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945
CAT-C008	92026	CC	19	46	70	37	0	0	0	0	103159	1208.668	91D2CD9930E4A20971C42B8981897EA880755935A4E4C562C8A2AA6B479502B4
CAT-C009	92026	H	3	3	3	0	0	0	0	0	6155	1108.517	E061CC32BEAE69F71871BFB0A84FF0E554D4C00559B33EA222977AE8DFD519FC
CAT-C010	92026	CU	0	0	0	0	0	0	0	0	2	1201.92	4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945
CAT-C011	92026	MC	0	0	0	0	0	0	0	0	2	1330.409	4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945
CAT-C012	92026	L	24	25	25	23	0	0	0	0	58633	1148.489	6D8BA72CBFD5CC9EB5659DC84D4E463B071A8F4239DB1E3561A6B55F0F751717
CAT-C013	92026	AC	18	22	24	22	0	0	0	0	60924	1096.492	8944FD56B429B620F5D171F88C95B9F23C1E3E16D87CBFFA565A4A51AE432156
CAT-C014	92026	J	0	0	0	0	0	0	0	0	2	1181.901	4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945
CAT-C015	72026	NB	1045	1697	2524	1594	0	0	0	0	3553897	2545.59	C3176058526B88A1FB198E850246FCF6F797E8D0ECF55BE04EBF2FD9D87056A5
CAT-C016	72026	NK	394	624	1013	493	0	0	0	0	1294383	1429.257	F261F714F55BF625B2E62F8CFD8A5618E90D158B36860FCBE60B8892A75ADEE6
CAT-C017	72026	CM	213	271	344	260	0	0	0	0	625895	1439.889	B26AF4D382AE119B39891513E0F9DAE369033CA43179155DA78C158F4A4C376D
CAT-C018	72026	ONLINE_NB	598	845	1026	844	0	0	0	0	1874930	1507.075	371814D81C001D9730DB88EAD85D47DA3D5A0126D9F3F1A55D73A8E67451AC99
CAT-C019	72026	ONLINE_NK	146	165	218	164	0	0	0	0	380602	1079.772	719C298ED24DA7483DA2092E928F062E9B4294E4246A2A3F29CBA41C3D00B068
CAT-C020	72026	ONLINE_CM	163	180	208	180	0	0	0	0	444061	1067.918	5BD7084EDEC706E190F983D82E54788AFAF5B058E9C0B907699234C45E5BC517
CAT-C021	92026	D	3	3	3	2	0	0	0	0	6911	1102.107	E55E92E2D0150EF04BFE1B758883E25C71826C70C24750DDAA2AF80F2A6B3F13
