path	parent_rows	key_present	key_present_rate	non_null	non_null_rate	non_empty	non_empty_rate	types	scope_count
course.campusCode	10629	10629	1.0	10629	1.0	10629	1.0	"{""string"":10629}"	17
course.campusLocations	10629	10629	1.0	10629	1.0	10629	1.0	"{""array"":10629}"	17
course.coreCodes	10629	10629	1.0	10629	1.0	2686	0.25270486	"{""array"":10629}"	17
course.courseDescription	10629	10629	1.0	10629	1.0	0	0.0	"{""string"":10629}"	17
course.courseFee	10629	10629	1.0	10629	1.0	10629	1.0	"{""string"":10629}"	17
course.courseFeeDescr	10629	10629	1.0	10460	0.9841001	295	0.02775426	"{""null"":169,""string"":10460}"	17
course.courseNotes	10629	10629	1.0	10629	1.0	335	0.03151755	"{""string"":10629}"	17
course.courseNumber	10629	10629	1.0	10629	1.0	10629	1.0	"{""string"":10629}"	17
course.courseString	10629	10629	1.0	10629	1.0	10629	1.0	"{""string"":10629}"	17
course.credits	10629	10629	1.0	9586	0.90187224	9586	0.90187224	"{""integer"":9444,""null"":1043,""number"":142}"	17
course.creditsObject	10629	10629	1.0	10629	1.0	10629	1.0	"{""object"":10629}"	17
course.expandedTitle	10629	10629	1.0	10629	1.0	7465	0.70232383	"{""string"":10629}"	17
course.level	10629	10629	1.0	10629	1.0	10629	1.0	"{""string"":10629}"	17
course.mainCampus	10629	10629	1.0	10629	1.0	10629	1.0	"{""string"":10629}"	17
course.offeringUnitCode	10629	10629	1.0	10629	1.0	10629	1.0	"{""string"":10629}"	17
course.offeringUnitTitle	10629	10629	1.0	0	0.0	0	0.0	"{""null"":10629}"	17
course.openSections	10629	10629	1.0	10629	1.0	10629	1.0	"{""integer"":10629}"	17
course.preReqNotes	10629	10629	1.0	10629	1.0	3056	0.28751529	"{""string"":10629}"	17
course.school	10629	10629	1.0	10629	1.0	10629	1.0	"{""object"":10629}"	17
course.sections	10629	10629	1.0	10629	1.0	10629	1.0	"{""array"":10629}"	17
course.subject	10629	10629	1.0	10629	1.0	10629	1.0	"{""string"":10629}"	17
course.subjectDescription	10629	10629	1.0	10629	1.0	10629	1.0	"{""string"":10629}"	17
course.subjectGroupNotes	10629	10629	1.0	10629	1.0	0	0.0	"{""string"":10629}"	17
course.subjectNotes	10629	10629	1.0	10629	1.0	567	0.05334462	"{""string"":10629}"	17
course.supplementCode	10629	10629	1.0	10629	1.0	248	0.02333239	"{""string"":10629}"	17
course.synopsisUrl	10629	10629	1.0	10629	1.0	5879	0.55310942	"{""string"":10629}"	17
course.title	10629	10629	1.0	10629	1.0	10629	1.0	"{""string"":10629}"	17
course.unitNotes	10629	10629	1.0	10629	1.0	203	0.01909869	"{""string"":10629}"	17
instructor.name	19202	19202	1.0	19202	1.0	19202	1.0	"{""string"":19202}"	16
meeting.baClassHours	30804	30804	1.0	30804	1.0	12864	0.4176081	"{""string"":30804}"	17
meeting.buildingCode	30804	30804	1.0	30804	1.0	15916	0.51668614	"{""string"":30804}"	17
meeting.campusAbbrev	30804	30804	1.0	30804	1.0	26235	0.85167511	"{""string"":30804}"	17
meeting.campusLocation	30804	30804	1.0	30804	1.0	26235	0.85167511	"{""string"":30804}"	17
meeting.campusName	30804	30804	1.0	30804	1.0	26235	0.85167511	"{""string"":30804}"	17
meeting.endTime	30804	30804	1.0	30804	1.0	17941	0.58242436	"{""string"":30804}"	17
meeting.endTimeMilitary	30804	30804	1.0	30804	1.0	17941	0.58242436	"{""string"":30804}"	17
meeting.meetingDay	30804	30804	1.0	30804	1.0	17941	0.58242436	"{""string"":30804}"	17
