meeting_mode_code	meeting_mode_desc	meeting_count	scope_count	scopes
02	LEC	13506	14	72026/CM,72026/NB,72026/NK,72026/ONLINE_NB,72026/ONLINE_NK,92026/AC,92026/CC,92026/CM,92026/D,92026/H,92026/L,92026/NB,92026/NK,92026/ONLINE_NB
90	ONLINE INSTRUCTION(INTERNET)	6442	16	72026/CM,72026/NB,72026/NK,72026/ONLINE_CM,72026/ONLINE_NB,72026/ONLINE_NK,92026/AC,92026/CC,92026/CM,92026/H,92026/L,92026/NB,92026/NK,92026/ONLINE_CM,92026/ONLINE_NB,92026/ONLINE_NK
19	PROJ-IND	2450	10	72026/CM,72026/NB,72026/NK,72026/ONLINE_CM,72026/ONLINE_NB,92026/CM,92026/L,92026/NB,92026/NK,92026/ONLINE_NB
23	RSCH-MA	2238	5	72026/NB,72026/NK,92026/CM,92026/NB,92026/NK
03	RECIT	1264	7	72026/CM,72026/NB,72026/ONLINE_NB,92026/CM,92026/NB,92026/NK,92026/ONLINE_NB
05	LAB	1244	7	72026/CM,72026/NB,72026/NK,72026/ONLINE_NB,92026/CM,92026/NB,92026/NK
08	MUS-INDV	566	2	92026/CM,92026/NB
04	SEM	546	7	72026/NB,72026/NK,72026/ONLINE_NB,92026/CM,92026/NB,92026/NK,92026/ONLINE_NB
07	STUDIO	467	5	72026/NB,92026/CM,92026/NB,92026/NK,92026/ONLINE_NB
80	GRADUATE 800-LEVEL	406	5	72026/NB,72026/NK,92026/CM,92026/NB,92026/NK
16	CLINIC	303	7	72026/CM,72026/NB,72026/NK,92026/CC,92026/CM,92026/NB,92026/NK
15	INTERNSP	294	8	72026/CM,72026/NB,72026/NK,72026/ONLINE_CM,92026/CM,92026/NB,92026/NK,92026/ONLINE_NB
09	MUS-GRP	227	2	92026/CM,92026/NB
91	HYBRID SECTION	162	5	72026/CM,72026/NK,92026/AC,92026/CM,92026/NK
92	REMOTE-SYNCH	135	4	72026/CM,72026/ONLINE_CM,92026/CM,92026/ONLINE_CM
14	FLD WRK	118	7	72026/NB,72026/NK,92026/CM,92026/L,92026/NB,92026/NK,92026/ONLINE_NB
27	WORKSHOP	106	3	72026/NB,92026/NB,92026/NK
21	HONORS	76	3	92026/CM,92026/NB,92026/NK
99	NONINSTR	60	4	72026/NK,92026/CM,92026/NB,92026/NK
20	PROJ-GRP	59	4	72026/NB,92026/CM,92026/NB,92026/NK
29	STUDY ABROAD	43	4	72026/NB,72026/NK,92026/NB,92026/NK
82	TEMPORARY REGISTRATION	29	4	72026/CM,92026/CM,92026/NB,92026/NK
81	EXCHANGE	19	2	92026/NB,92026/NK
28	FILM	15	1	92026/NB
26	DEMON-18	12	1	92026/NB
10	PHY ED-M	6	1	92026/NB
18	READINGS	3	2	92026/NB,92026/NK
06	LANG-WKP	2	1	92026/NB
83	MCL	2	1	92026/NK
93	REMOTE-ASYNCH	2	2	92026/CM,92026/ONLINE_CM
11	PHY ED	1	1	92026/NB
12	PR TCH.5	1	1	92026/NK
