section_course_type	meeting_mode_code	meeting_mode_desc	raw_section_rows	scope_count	scopes
H	02	LEC	664	6	72026/NB,72026/NK,92026/AC,92026/CM,92026/NB,92026/NK
H	90	ONLINE INSTRUCTION(INTERNET)	518	4	72026/NB,92026/AC,92026/NB,92026/NK
H	91	HYBRID SECTION	143	5	72026/CM,72026/NK,92026/AC,92026/CM,92026/NK
H	03	RECIT	139	2	72026/NB,92026/NB
H	05	LAB	81	2	72026/NB,92026/NB
H	92	REMOTE-SYNCH	6	2	72026/CM,92026/CM
H	14	FLD WRK	2	1	92026/NB
H	20	PROJ-GRP	2	2	72026/NB,92026/NB
H	07	STUDIO	1	1	92026/CM
H	16	CLINIC	1	1	92026/CM
O	90	ONLINE INSTRUCTION(INTERNET)	5727	16	72026/CM,72026/NB,72026/NK,72026/ONLINE_CM,72026/ONLINE_NB,72026/ONLINE_NK,92026/AC,92026/CC,92026/CM,92026/H,92026/L,92026/NB,92026/NK,92026/ONLINE_CM,92026/ONLINE_NB,92026/ONLINE_NK
O	02	LEC	568	6	72026/NB,72026/NK,72026/ONLINE_NB,72026/ONLINE_NK,92026/NB,92026/ONLINE_NB
O	92	REMOTE-SYNCH	68	4	72026/CM,72026/ONLINE_CM,92026/CM,92026/ONLINE_CM
O	03	RECIT	28	4	72026/NB,72026/ONLINE_NB,92026/NB,92026/ONLINE_NB
O	04	SEM	22	4	72026/NB,72026/ONLINE_NB,92026/NB,92026/ONLINE_NB
O	15	INTERNSP	12	4	72026/CM,72026/ONLINE_CM,92026/NB,92026/ONLINE_NB
O	19	PROJ-IND	8	6	72026/CM,72026/NB,72026/ONLINE_CM,72026/ONLINE_NB,92026/NB,92026/ONLINE_NB
O	14	FLD WRK	4	2	92026/NB,92026/ONLINE_NB
O	05	LAB	2	2	72026/NB,72026/ONLINE_NB
O	07	STUDIO	2	2	92026/NB,92026/ONLINE_NB
O	93	REMOTE-ASYNCH	2	2	92026/CM,92026/ONLINE_CM
T	02	LEC	7049	11	72026/CM,72026/NB,72026/NK,92026/AC,92026/CC,92026/CM,92026/D,92026/H,92026/L,92026/NB,92026/NK
T	19	PROJ-IND	2435	7	72026/CM,72026/NB,72026/NK,92026/CM,92026/L,92026/NB,92026/NK
T	23	RSCH-MA	2237	5	72026/NB,72026/NK,92026/CM,92026/NB,92026/NK
T	03	RECIT	1051	5	72026/CM,72026/NB,92026/CM,92026/NB,92026/NK
T	05	LAB	1045	6	72026/CM,72026/NB,72026/NK,92026/CM,92026/NB,92026/NK
T	08	MUS-INDV	565	2	92026/CM,92026/NB
T	04	SEM	498	5	72026/NB,72026/NK,92026/CM,92026/NB,92026/NK
T	80	GRADUATE 800-LEVEL	406	5	72026/NB,72026/NK,92026/CM,92026/NB,92026/NK
T	07	STUDIO	309	4	72026/NB,92026/CM,92026/NB,92026/NK
T	16	CLINIC	301	7	72026/CM,72026/NB,72026/NK,92026/CC,92026/CM,92026/NB,92026/NK
T	15	INTERNSP	282	6	72026/CM,72026/NB,72026/NK,92026/CM,92026/NB,92026/NK
T	09	MUS-GRP	197	2	92026/CM,92026/NB
T	14	FLD WRK	111	6	72026/NB,72026/NK,92026/CM,92026/L,92026/NB,92026/NK
T	27	WORKSHOP	106	3	72026/NB,92026/NB,92026/NK
T	21	HONORS	74	3	92026/CM,92026/NB,92026/NK
T	99	NONINSTR	60	4	72026/NK,92026/CM,92026/NB,92026/NK
T	20	PROJ-GRP	56	3	92026/CM,92026/NB,92026/NK
T	29	STUDY ABROAD	43	4	72026/NB,72026/NK,92026/NB,92026/NK
T	82	TEMPORARY REGISTRATION	28	4	72026/CM,92026/CM,92026/NB,92026/NK
T	90	ONLINE INSTRUCTION(INTERNET)	23	3	72026/NB,92026/NB,92026/NK
T	81	EXCHANGE	19	2	92026/NB,92026/NK
T	28	FILM	15	1	92026/NB
T	26	DEMON-18	12	1	92026/NB
T	10	PHY ED-M	6	1	92026/NB
T	18	READINGS	3	2	92026/NB,92026/NK
T	92	REMOTE-SYNCH	3	1	92026/CM
T	06	LANG-WKP	2	1	92026/NB
T	83	MCL	2	1	92026/NK
T	91	HYBRID SECTION	2	2	72026/NK,92026/CM
T	11	PHY ED	1	1	92026/NB
T	12	PR TCH.5	1	1	92026/NK
