section_course_type	evidence_flag	raw_section_rows	section_type_total	rate_within_section_type
H	HAS_BY_ARRANGEMENT_ONLINE_REMOTE_LOCATION	562	808	0.69554455
H	HAS_EXPLICIT_REMOTE_SYNC_92	6	808	0.00742574
H	HAS_GENERIC_ONLINE_90	518	808	0.64108911
H	HAS_SCHEDULED_OCCURRENCE	772	808	0.95544554
H	NO_SCHEDULED_OCCURRENCE	36	808	0.04455446
O	HAS_BY_ARRANGEMENT_ONLINE_REMOTE_LOCATION	3836	6289	0.60995389
O	HAS_EXPLICIT_REMOTE_ASYNC_93	2	6289	0.00031802
O	HAS_EXPLICIT_REMOTE_SYNC_92	68	6289	0.01081253
O	HAS_GENERIC_ONLINE_90	5727	6289	0.91063762
O	HAS_SCHEDULED_OCCURRENCE	1108	6289	0.17618063
O	NO_SCHEDULED_OCCURRENCE	5181	6289	0.82381937
T	HAS_BY_ARRANGEMENT_ONLINE_REMOTE_LOCATION	164	14972	0.01095378
T	HAS_EXPLICIT_REMOTE_SYNC_92	3	14972	0.00020037
T	HAS_GENERIC_ONLINE_90	23	14972	0.0015362
T	HAS_SCHEDULED_OCCURRENCE	8291	14972	0.55376703
T	NO_SCHEDULED_OCCURRENCE	6681	14972	0.44623297
