metric	count	severity
section_rows	22069	INFO
unique_term_campus_index	22051	INFO
duplicate_term_campus_index_keys	18	RAW_DUPLICATE_REQUIRES_NORMALIZATION
duplicate_term_campus_index_rows	18	RAW_DUPLICATE_REQUIRES_NORMALIZATION
semantically_equivalent_duplicate_keys	18	SAFE_TO_COLLAPSE_WITH_AUDIT
semantically_conflicting_duplicate_keys	0	CRITICAL_IF_NONZERO
term_index_cross_campus_collisions	3125	EXPECTED_PROOF_COMPOSITE
bare_index_cross_scope_collisions	3344	EXPECTED_PROOF_COMPOSITE
multi_object_course_string_groups	41	COURSE_GROUP_NORMALIZATION_REQUIRED
course_groups_with_multiple_variants	31	COURSE_VARIANT_MODEL_REQUIRED
course_groups_with_section_overlap	0	CONFLICT_CHECK_REQUIRED
