filter_id	label	source_paths	denominator	non_empty	non_empty_rate	evidence_note
FLT-C01	Term	request.term_id	21	21	1.0	request scope
FLT-C02	Campus	request.campus	21	21	1.0	official selector + request scope
FLT-C03	Subject	course.subject	10629	10629	1.0	structured
FLT-C04	Text search	course.title|expandedTitle|description|notes	10629	10629	1.0	raw text exists; FTS ingest separately audited
FLT-C05	Course number	course.courseNumber	10629	10629	1.0	structured
FLT-C06	Level	course.level	10629	10629	1.0	structured raw value
FLT-C07	Credits	course.creditsObject|credits	10629	10629	1.0	structured object preferred
FLT-C08	Core code	course.coreCodes	10629	2686	0.25270486	legitimate sparse array
FLT-C09	Prerequisite presence	course.preReqNotes	10629	3056	0.28751529	empty vs unknown requires source rule
FLT-C10	Course campus location	course.campusLocations	10629	10629	1.0	structured array
FLT-S01	Index	section.index	22069	22069	1.0	structured; composite scope required
FLT-S02	Section number	section.number	22069	22069	1.0	structured
FLT-S03	Open status	section.openStatus	22069	22069	1.0	catalog status is not live Open evidence; see P3 Open documents 14-17
FLT-S04a	Delivery modality	section.sectionCourseType	22069	22069	1.0	official SOC selector defines T/H/O; preserve raw
FLT-S04b	Delivery synchronicity	meeting.meetingModeCode|Desc|day|start|end|campusLocation	30804	30804	1.0	explicit 92/93 and by-arrangement O/T are evidence; generic 90 remains UNSPECIFIED
FLT-S05	Instructor	section.instructors[].name	22069	18425	0.83488151	name only; no stable ID observed
FLT-S06	Availability	meeting.day/start/end	30804	17941	0.58242436	requiredness and TBA rules apply
FLT-S07	Meeting campus/location	meeting.campusLocation|campusName	30804	26235	0.85167511	structured raw
FLT-S08	Building/room	meeting.buildingCode|roomNumber	30804	15916	0.51668614	legitimate sparse
FLT-S09	Exam	section.examCode|finalExam	22069	22069	1.0	mixed structured/text shape
FLT-S10	Special permission	section.specialPermissionAddCode	22069	5159	0.23376682	structured code
FLT-S11	Eligibility	section.majors|minors|honorPrograms|eligibility|openToText	22069	7555	0.3423354	multiple structured/text sources
