trace_id	source_kind	source_id	source_path	source_anchor	source_sha256	source_summary	p2_decision	p3_catalog_class	p3_evidence_refs	p3_plan_target	open_boundary	trace_status
P3T-CAP-CAP-001	CAP	CAP-001	project-governance/current/p2/03-capability-all-matrix.md	line:16	582879CB82CFDB1BBCA353E12F12AAFEC0B99ABCC8C5CE0B3E109C3CE378B00E	普通Windows用户下载、解压、双击即用	P2_APPROVED_BASELINE	LOCAL_IMPLEMENTATION_PLAN	00-p3-charter-and-preflight.md	P3-LOCAL-IMPLEMENTATION	NOT_APPLICABLE	MAPPED_P3_PLAN
P3T-CAP-CAP-002	CAP	CAP-002	project-governance/current/p2/03-capability-all-matrix.md	line:17	582879CB82CFDB1BBCA353E12F12AAFEC0B99ABCC8C5CE0B3E109C3CE378B00E	使用同一正式产品壳找课，不被内部管理工具干扰	P2_APPROVED_BASELINE	LOCAL_IMPLEMENTATION_PLAN	00-p3-charter-and-preflight.md	P3-LOCAL-IMPLEMENTATION	NOT_APPLICABLE	MAPPED_P3_PLAN
P3T-CAP-CAP-003	CAP	CAP-003	project-governance/current/p2/03-capability-all-matrix.md	line:18	582879CB82CFDB1BBCA353E12F12AAFEC0B99ABCC8C5CE0B3E109C3CE378B00E	首次获得课程数据，并独立刷新课程信息与Open信息	P2_APPROVED_BASELINE	CATALOG_EVIDENCE_AND_PLAN	00-p3-charter-and-preflight.md;01a-catalog-request-manifest.json;02-catalog-request-ledger.tsv;03-catalog-evidence-register.tsv;04a-catalog-profile.json;04b-catalog-scope-summary.tsv;04c-catalog-field-profile.tsv;05b-meeting-raw-values.tsv;06b-filter-source-profile.tsv;14-open-profile-join-and-error-evidence.md;15-poller-qps-latency-and-safety-model.md;16-shared-open-contract-review-options.md;17-p3-open-review-stop-gate.md;18-open-review-decision-001.md;19-open-cache-and-notification-latency-contract.md;20-p3-open-decision-gate.md;21b-open-round2-resumption-amendment-001.json;22b-open-round2-completion.json;23a-shared-open-final-contract.md;23b-shared-open-final-contract.json	P3-CATALOG-DATA|P3-SHARED-OPEN-CONTRACT	RESOLVED_P3_SHARED_OPEN_CONTRACT	MAPPED_P3_OPEN_FROZEN
P3T-CAP-CAP-004	CAP	CAP-004	project-governance/current/p2/03-capability-all-matrix.md	line:19	582879CB82CFDB1BBCA353E12F12AAFEC0B99ABCC8C5CE0B3E109C3CE378B00E	通过term/campus/subject、课程号、关键词、level、credits、core、prereq、location精准找course	P2_APPROVED_BASELINE	CATALOG_EVIDENCE_AND_PLAN	00-p3-charter-and-preflight.md;01a-catalog-request-manifest.json;02-catalog-request-ledger.tsv;03-catalog-evidence-register.tsv;04a-catalog-profile.json;04b-catalog-scope-summary.tsv;04c-catalog-field-profile.tsv;06a-section-identity-summary.tsv;06b-filter-source-profile.tsv	P3-CATALOG-DATA	NOT_APPLICABLE	MAPPED_CATALOG
P3T-CAP-CAP-005	CAP	CAP-005	project-governance/current/p2/03-capability-all-matrix.md	line:20	582879CB82CFDB1BBCA353E12F12AAFEC0B99ABCC8C5CE0B3E109C3CE378B00E	以整个section为单位组合open、delivery modality/synchronicity、教师、availability、地点、exam、permission和eligibility	P2_APPROVED_BASELINE	CATALOG_EVIDENCE_AND_PLAN	00-p3-charter-and-preflight.md;01a-catalog-request-manifest.json;02-catalog-request-ledger.tsv;03-catalog-evidence-register.tsv;04a-catalog-profile.json;04b-catalog-scope-summary.tsv;04c-catalog-field-profile.tsv;05a-delivery-raw-values.tsv;05b-meeting-raw-values.tsv;06a-section-identity-summary.tsv;06b-filter-source-profile.tsv	P3-CATALOG-DATA	NOT_APPLICABLE	MAPPED_CATALOG
P3T-CAP-CAP-006	CAP	CAP-006	project-governance/current/p2/03-capability-all-matrix.md	line:21	582879CB82CFDB1BBCA353E12F12AAFEC0B99ABCC8C5CE0B3E109C3CE378B00E	默认course-centered，展开匹配sections	P2_APPROVED_BASELINE	CATALOG_EVIDENCE_AND_PLAN	00-p3-charter-and-preflight.md;01a-catalog-request-manifest.json;02-catalog-request-ledger.tsv;03-catalog-evidence-register.tsv;04a-catalog-profile.json;04b-catalog-scope-summary.tsv;04c-catalog-field-profile.tsv;05b-meeting-raw-values.tsv;06a-section-identity-summary.tsv;06b-filter-source-profile.tsv	P3-CATALOG-DATA	NOT_APPLICABLE	MAPPED_CATALOG
P3T-CAP-CAP-007	CAP	CAP-007	project-governance/current/p2/03-capability-all-matrix.md	line:22	582879CB82CFDB1BBCA353E12F12AAFEC0B99ABCC8C5CE0B3E109C3CE378B00E	独立搜索、直接访问并打开完整section详情	P2_APPROVED_BASELINE	CATALOG_EVIDENCE_AND_PLAN	00-p3-charter-and-preflight.md;01a-catalog-request-manifest.json;02-catalog-request-ledger.tsv;03-catalog-evidence-register.tsv;04a-catalog-profile.json;04b-catalog-scope-summary.tsv;04c-catalog-field-profile.tsv;05b-meeting-raw-values.tsv;06a-section-identity-summary.tsv;06b-filter-source-profile.tsv	P3-CATALOG-DATA	NOT_APPLICABLE	MAPPED_CATALOG
P3T-CAP-CAP-008	CAP	CAP-008	project-governance/current/p2/03-capability-all-matrix.md	line:23	582879CB82CFDB1BBCA353E12F12AAFEC0B99ABCC8C5CE0B3E109C3CE378B00E	从course/section选择最多9项并管理	P2_APPROVED_BASELINE	LOCAL_IMPLEMENTATION_PLAN	00-p3-charter-and-preflight.md;05b-meeting-raw-values.tsv;06a-section-identity-summary.tsv;14-open-profile-join-and-error-evidence.md;15-poller-qps-latency-and-safety-model.md;16-shared-open-contract-review-options.md;17-p3-open-review-stop-gate.md;18-open-review-decision-001.md;19-open-cache-and-notification-latency-contract.md;20-p3-open-decision-gate.md;21b-open-round2-resumption-amendment-001.json;22b-open-round2-completion.json;23a-shared-open-final-contract.md;23b-shared-open-final-contract.json	P3-LOCAL-IMPLEMENTATION|P3-SHARED-OPEN-CONTRACT	RESOLVED_P3_SHARED_OPEN_CONTRACT	MAPPED_P3_OPEN_FROZEN
P3T-CAP-CAP-009	CAP	CAP-009	project-governance/current/p2/03-capability-all-matrix.md	line:24	582879CB82CFDB1BBCA353E12F12AAFEC0B99ABCC8C5CE0B3E109C3CE378B00E	页面/连接有效才active；断线立即失效且不自动恢复	P2_APPROVED_BASELINE	LOCAL_IMPLEMENTATION_PLAN	00-p3-charter-and-preflight.md;05b-meeting-raw-values.tsv;14-open-profile-join-and-error-evidence.md;15-poller-qps-latency-and-safety-model.md;16-shared-open-contract-review-options.md;17-p3-open-review-stop-gate.md;18-open-review-decision-001.md;19-open-cache-and-notification-latency-contract.md;20-p3-open-decision-gate.md;21b-open-round2-resumption-amendment-001.json;22b-open-round2-completion.json;23a-shared-open-final-contract.md;23b-shared-open-final-contract.json	P3-LOCAL-IMPLEMENTATION|P3-SHARED-OPEN-CONTRACT	RESOLVED_P3_SHARED_OPEN_CONTRACT	MAPPED_P3_OPEN_FROZEN
P3T-CAP-CAP-010	CAP	CAP-010	project-governance/current/p2/03-capability-all-matrix.md	line:25	582879CB82CFDB1BBCA353E12F12AAFEC0B99ABCC8C5CE0B3E109C3CE378B00E	每个Open episode可见；ONE_SHOT以Max audible限制每section声音但不停止watch	P2_APPROVED_BASELINE	LOCAL_IMPLEMENTATION_PLAN	00-p3-charter-and-preflight.md;06a-section-identity-summary.tsv;14-open-profile-join-and-error-evidence.md;15-poller-qps-latency-and-safety-model.md;16-shared-open-contract-review-options.md;17-p3-open-review-stop-gate.md;18-open-review-decision-001.md;19-open-cache-and-notification-latency-contract.md;20-p3-open-decision-gate.md;21b-open-round2-resumption-amendment-001.json;22b-open-round2-completion.json;23a-shared-open-final-contract.md;23b-shared-open-final-contract.json	P3-LOCAL-IMPLEMENTATION|P3-SHARED-OPEN-CONTRACT	RESOLVED_P3_SHARED_OPEN_CONTRACT	MAPPED_P3_OPEN_FROZEN
