request_id	round	round_ordinal	term_id	year	term	campus	url	started_at_utc	completed_at_utc	http_status	duration_ms	bytes	decoded_bytes	content_type	content_encoding	response_date	etag	last_modified	cache_control	age	retry_after	wire_sha256	body_sha256	top_level_rows	root_value_types	string_count	numeric_count	duplicate_raw_values	unique_string_values	outcome	error_class	raw_relative_path	notes
OPEN-R1-001	1	1	92026	2026	9	NB	https://classes.rutgers.edu/soc/api/openSections.json?year=2026&term=9&campus=NB	2026-07-13T03:01:58.617191Z	2026-07-13T03:02:00.023052Z	200	1392.583	29829	101161	application/json	gzip	Mon, 13 Jul 2026 03:01:59 GMT	977967432		max-age=30			2AB0DD8834D18942A6451583AAF21EB556C1E9332B1364E728FF7A33628C328E	4C1673CF5A06EE2DAB7ACA3160BBEAF247B0810B277C0116ACA6CA56F7FC715A	12645	"{""string"":12645}"	12645	0	0	12645	SUCCESS		data/staging/p3-rutgers-evidence-20260713/open/OPEN-R1-001_92026_NB_openSections.json	
OPEN-R1-002	1	2	92026	2026	9	NK	https://classes.rutgers.edu/soc/api/openSections.json?year=2026&term=9&campus=NK	2026-07-13T03:02:03.617701Z	2026-07-13T03:02:05.008700Z	200	1379.31	29829	101161	application/json	gzip	Mon, 13 Jul 2026 03:02:04 GMT	206600		max-age=30			2AB0DD8834D18942A6451583AAF21EB556C1E9332B1364E728FF7A33628C328E	4C1673CF5A06EE2DAB7ACA3160BBEAF247B0810B277C0116ACA6CA56F7FC715A	12645	"{""string"":12645}"	12645	0	0	12645	SUCCESS		data/staging/p3-rutgers-evidence-20260713/open/OPEN-R1-002_92026_NK_openSections.json	
OPEN-R1-003	1	3	92026	2026	9	CM	https://classes.rutgers.edu/soc/api/openSections.json?year=2026&term=9&campus=CM	2026-07-13T03:02:08.618213Z	2026-07-13T03:02:10.069220Z	200	1438.802	29829	101161	application/json	gzip	Mon, 13 Jul 2026 03:02:09 GMT	2006818613		max-age=30			2AB0DD8834D18942A6451583AAF21EB556C1E9332B1364E728FF7A33628C328E	4C1673CF5A06EE2DAB7ACA3160BBEAF247B0810B277C0116ACA6CA56F7FC715A	12645	"{""string"":12645}"	12645	0	0	12645	SUCCESS		data/staging/p3-rutgers-evidence-20260713/open/OPEN-R1-003_92026_CM_openSections.json	
OPEN-R1-004	1	4	92026	2026	9	ONLINE_NB	https://classes.rutgers.edu/soc/api/openSections.json?year=2026&term=9&campus=ONLINE_NB	2026-07-13T03:02:13.619030Z	2026-07-13T03:02:14.676985Z	200	1046.267	2352	8793	application/json	gzip	Mon, 13 Jul 2026 03:02:14 GMT	968726674		max-age=30			B9F7E73F8B8D613EBEE9937812E905B9D7A99C193ED87E414EA719D4665B14F7	BC4754A44C87A05CDD8D3191805B5E36660F581A520409A03FD0B8CF895FB166	1099	"{""string"":1099}"	1099	0	0	1099	SUCCESS		data/staging/p3-rutgers-evidence-20260713/open/OPEN-R1-004_92026_ONLINE_NB_openSections.json	
OPEN-R1-005	1	5	92026	2026	9	ONLINE_NK	https://classes.rutgers.edu/soc/api/openSections.json?year=2026&term=9&campus=ONLINE_NK	2026-07-13T03:02:18.619651Z	2026-07-13T03:02:19.663855Z	200	1032.51	2352	8793	application/json	gzip	Mon, 13 Jul 2026 03:02:19 GMT	1736893428		max-age=30			B9F7E73F8B8D613EBEE9937812E905B9D7A99C193ED87E414EA719D4665B14F7	BC4754A44C87A05CDD8D3191805B5E36660F581A520409A03FD0B8CF895FB166	1099	"{""string"":1099}"	1099	0	0	1099	SUCCESS		data/staging/p3-rutgers-evidence-20260713/open/OPEN-R1-005_92026_ONLINE_NK_openSections.json	
OPEN-R1-006	1	6	92026	2026	9	ONLINE_CM	https://classes.rutgers.edu/soc/api/openSections.json?year=2026&term=9&campus=ONLINE_CM	2026-07-13T03:02:46.105266Z	2026-07-13T03:02:47.189296Z	200	1071.027	2352	8793	application/json	gzip	Mon, 13 Jul 2026 03:02:47 GMT	2070943834		max-age=30			B9F7E73F8B8D613EBEE9937812E905B9D7A99C193ED87E414EA719D4665B14F7	BC4754A44C87A05CDD8D3191805B5E36660F581A520409A03FD0B8CF895FB166	1099	"{""string"":1099}"	1099	0	0	1099	SUCCESS		data/staging/p3-rutgers-evidence-20260713/open/OPEN-R1-006_92026_ONLINE_CM_openSections.json	
OPEN-R1-007	1	7	92026	2026	9	B	https://classes.rutgers.edu/soc/api/openSections.json?year=2026&term=9&campus=B	2026-07-13T03:02:51.106209Z	2026-07-13T03:02:52.472607Z	200	1349.8	29829	101161	application/json	gzip	Mon, 13 Jul 2026 03:02:52 GMT	1721511470		max-age=30			2AB0DD8834D18942A6451583AAF21EB556C1E9332B1364E728FF7A33628C328E	4C1673CF5A06EE2DAB7ACA3160BBEAF247B0810B277C0116ACA6CA56F7FC715A	12645	"{""string"":12645}"	12645	0	0	12645	SUCCESS		data/staging/p3-rutgers-evidence-20260713/open/OPEN-R1-007_92026_B_openSections.json	
OPEN-R1-008	1	8	92026	2026	9	CC	https://classes.rutgers.edu/soc/api/openSections.json?year=2026&term=9&campus=CC	2026-07-13T03:02:56.106879Z	2026-07-13T03:02:57.501297Z	200	1383.022	29829	101161	application/json	gzip	Mon, 13 Jul 2026 03:02:57 GMT	1568037659		max-age=30			2AB0DD8834D18942A6451583AAF21EB556C1E9332B1364E728FF7A33628C328E	4C1673CF5A06EE2DAB7ACA3160BBEAF247B0810B277C0116ACA6CA56F7FC715A	12645	"{""string"":12645}"	12645	0	0	12645	SUCCESS		data/staging/p3-rutgers-evidence-20260713/open/OPEN-R1-008_92026_CC_openSections.json	
OPEN-R1-009	1	9	92026	2026	9	H	https://classes.rutgers.edu/soc/api/openSections.json?year=2026&term=9&campus=H	2026-07-13T03:03:01.108276Z	2026-07-13T03:03:02.558740Z	200	1432.981	29829	101161	application/json	gzip	Mon, 13 Jul 2026 03:03:02 GMT	567499769		max-age=30			2AB0DD8834D18942A6451583AAF21EB556C1E9332B1364E728FF7A33628C328E	4C1673CF5A06EE2DAB7ACA3160BBEAF247B0810B277C0116ACA6CA56F7FC715A	12645	"{""string"":12645}"	12645	0	0	12645	SUCCESS		data/staging/p3-rutgers-evidence-20260713/open/OPEN-R1-009_92026_H_openSections.json	
OPEN-R1-010	1	10	92026	2026	9	CU	https://classes.rutgers.edu/soc/api/openSections.json?year=2026&term=9&campus=CU	2026-07-13T03:03:06.108813Z	2026-07-13T03:03:07.171150Z	200	1049.246	22	2	application/json	gzip	Mon, 13 Jul 2026 03:03:07 GMT	480231813		max-age=30			2E4F23DE4086A47E7D4F246638BBE838E34A17B8DE971D719F93EF940AD46F2C	4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945	0	{}	0	0	0	0	SUCCESS		data/staging/p3-rutgers-evidence-20260713/open/OPEN-R1-010_92026_CU_openSections.json	
OPEN-R1-011	1	11	92026	2026	9	MC	https://classes.rutgers.edu/soc/api/openSections.json?year=2026&term=9&campus=MC	2026-07-13T03:03:11.109356Z	2026-07-13T03:03:12.469120Z	200	1346.126	29829	101161	application/json	gzip	Mon, 13 Jul 2026 03:03:12 GMT	1102014200		max-age=30			2AB0DD8834D18942A6451583AAF21EB556C1E9332B1364E728FF7A33628C328E	4C1673CF5A06EE2DAB7ACA3160BBEAF247B0810B277C0116ACA6CA56F7FC715A	12645	"{""string"":12645}"	12645	0	0	12645	SUCCESS		data/staging/p3-rutgers-evidence-20260713/open/OPEN-R1-011_92026_MC_openSections.json	
OPEN-R1-012	1	12	92026	2026	9	L	https://classes.rutgers.edu/soc/api/openSections.json?year=2026&term=9&campus=L	2026-07-13T03:03:16.109680Z	2026-07-13T03:03:17.285640Z	200	1164.024	29829	101161	application/json	gzip	Mon, 13 Jul 2026 03:03:17 GMT	259635037		max-age=30			2AB0DD8834D18942A6451583AAF21EB556C1E9332B1364E728FF7A33628C328E	4C1673CF5A06EE2DAB7ACA3160BBEAF247B0810B277C0116ACA6CA56F7FC715A	12645	"{""string"":12645}"	12645	0	0	12645	SUCCESS		data/staging/p3-rutgers-evidence-20260713/open/OPEN-R1-012_92026_L_openSections.json	
OPEN-R1-013	1	13	92026	2026	9	AC	https://classes.rutgers.edu/soc/api/openSections.json?year=2026&term=9&campus=AC	2026-07-13T03:03:21.110583Z	2026-07-13T03:03:22.535912Z	200	1402.234	29829	101161	application/json	gzip	Mon, 13 Jul 2026 03:03:22 GMT	680247364		max-age=30			2AB0DD8834D18942A6451583AAF21EB556C1E9332B1364E728FF7A33628C328E	4C1673CF5A06EE2DAB7ACA3160BBEAF247B0810B277C0116ACA6CA56F7FC715A	12645	"{""string"":12645}"	12645	0	0	12645	SUCCESS		data/staging/p3-rutgers-evidence-20260713/open/OPEN-R1-013_92026_AC_openSections.json	
