evidence_id	request_id	round	term_id	campus	raw_relative_path	body_sha256	observed_at_utc	observation_strength	claims_supported	limitations
OPEN-E001	OPEN-R1-001	1	92026	NB	data/staging/p3-rutgers-evidence-20260713/open/OPEN-R1-001_92026_NB_openSections.json	4C1673CF5A06EE2DAB7ACA3160BBEAF247B0810B277C0116ACA6CA56F7FC715A	2026-07-13T03:02:00.023052Z	PAIRED_TWO_ROUND_OBSERVATION	OPEN_SHAPE|OFFICIAL_INTERSECTION|ORPHAN_AUDIT|TRANSITION|CACHE_HEADERS	low_volume_serial_evidence;not_an_upstream_SLA;not_sustained_capacity_proof
OPEN-E002	OPEN-R1-002	1	92026	NK	data/staging/p3-rutgers-evidence-20260713/open/OPEN-R1-002_92026_NK_openSections.json	4C1673CF5A06EE2DAB7ACA3160BBEAF247B0810B277C0116ACA6CA56F7FC715A	2026-07-13T03:02:05.008700Z	PAIRED_TWO_ROUND_OBSERVATION	OPEN_SHAPE|OFFICIAL_INTERSECTION|ORPHAN_AUDIT|TRANSITION|CACHE_HEADERS	low_volume_serial_evidence;not_an_upstream_SLA;not_sustained_capacity_proof
OPEN-E003	OPEN-R1-003	1	92026	CM	data/staging/p3-rutgers-evidence-20260713/open/OPEN-R1-003_92026_CM_openSections.json	4C1673CF5A06EE2DAB7ACA3160BBEAF247B0810B277C0116ACA6CA56F7FC715A	2026-07-13T03:02:10.069220Z	PAIRED_TWO_ROUND_OBSERVATION	OPEN_SHAPE|OFFICIAL_INTERSECTION|ORPHAN_AUDIT|TRANSITION|CACHE_HEADERS	low_volume_serial_evidence;not_an_upstream_SLA;not_sustained_capacity_proof
OPEN-E004	OPEN-R1-004	1	92026	ONLINE_NB	data/staging/p3-rutgers-evidence-20260713/open/OPEN-R1-004_92026_ONLINE_NB_openSections.json	BC4754A44C87A05CDD8D3191805B5E36660F581A520409A03FD0B8CF895FB166	2026-07-13T03:02:14.676985Z	PAIRED_TWO_ROUND_OBSERVATION	OPEN_SHAPE|OFFICIAL_INTERSECTION|ORPHAN_AUDIT|TRANSITION|CACHE_HEADERS	low_volume_serial_evidence;not_an_upstream_SLA;not_sustained_capacity_proof
OPEN-E005	OPEN-R1-005	1	92026	ONLINE_NK	data/staging/p3-rutgers-evidence-20260713/open/OPEN-R1-005_92026_ONLINE_NK_openSections.json	BC4754A44C87A05CDD8D3191805B5E36660F581A520409A03FD0B8CF895FB166	2026-07-13T03:02:19.663855Z	PAIRED_TWO_ROUND_OBSERVATION	OPEN_SHAPE|OFFICIAL_INTERSECTION|ORPHAN_AUDIT|TRANSITION|CACHE_HEADERS	low_volume_serial_evidence;not_an_upstream_SLA;not_sustained_capacity_proof
OPEN-E006	OPEN-R1-006	1	92026	ONLINE_CM	data/staging/p3-rutgers-evidence-20260713/open/OPEN-R1-006_92026_ONLINE_CM_openSections.json	BC4754A44C87A05CDD8D3191805B5E36660F581A520409A03FD0B8CF895FB166	2026-07-13T03:02:47.189296Z	PAIRED_TWO_ROUND_OBSERVATION	OPEN_SHAPE|OFFICIAL_INTERSECTION|ORPHAN_AUDIT|TRANSITION|CACHE_HEADERS	low_volume_serial_evidence;not_an_upstream_SLA;not_sustained_capacity_proof
OPEN-E007	OPEN-R1-007	1	92026	B	data/staging/p3-rutgers-evidence-20260713/open/OPEN-R1-007_92026_B_openSections.json	4C1673CF5A06EE2DAB7ACA3160BBEAF247B0810B277C0116ACA6CA56F7FC715A	2026-07-13T03:02:52.472607Z	PAIRED_TWO_ROUND_OBSERVATION	OPEN_SHAPE|OFFICIAL_INTERSECTION|ORPHAN_AUDIT|TRANSITION|CACHE_HEADERS	low_volume_serial_evidence;not_an_upstream_SLA;not_sustained_capacity_proof
OPEN-E008	OPEN-R1-008	1	92026	CC	data/staging/p3-rutgers-evidence-20260713/open/OPEN-R1-008_92026_CC_openSections.json	4C1673CF5A06EE2DAB7ACA3160BBEAF247B0810B277C0116ACA6CA56F7FC715A	2026-07-13T03:02:57.501297Z	PAIRED_TWO_ROUND_OBSERVATION	OPEN_SHAPE|OFFICIAL_INTERSECTION|ORPHAN_AUDIT|TRANSITION|CACHE_HEADERS	low_volume_serial_evidence;not_an_upstream_SLA;not_sustained_capacity_proof
OPEN-E009	OPEN-R1-009	1	92026	H	data/staging/p3-rutgers-evidence-20260713/open/OPEN-R1-009_92026_H_openSections.json	4C1673CF5A06EE2DAB7ACA3160BBEAF247B0810B277C0116ACA6CA56F7FC715A	2026-07-13T03:03:02.558740Z	PAIRED_TWO_ROUND_OBSERVATION	OPEN_SHAPE|OFFICIAL_INTERSECTION|ORPHAN_AUDIT|TRANSITION|CACHE_HEADERS	low_volume_serial_evidence;not_an_upstream_SLA;not_sustained_capacity_proof
OPEN-E010	OPEN-R1-010	1	92026	CU	data/staging/p3-rutgers-evidence-20260713/open/OPEN-R1-010_92026_CU_openSections.json	4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945	2026-07-13T03:03:07.171150Z	PAIRED_TWO_ROUND_OBSERVATION	OPEN_SHAPE|OFFICIAL_INTERSECTION|ORPHAN_AUDIT|TRANSITION|CACHE_HEADERS	low_volume_serial_evidence;not_an_upstream_SLA;not_sustained_capacity_proof
