request_id	round	term_id	campus	open_rows	unique_open_strings	catalog_unique_sections	official_open_matches	official_closed_by_absence	orphan_audit_count	orphan_audit_rate	raw_duplicate_catalog_keys_matched	term_union_matches	term_union_orphans	term_union_multi_scope_indexes	catalog_snapshot_open_disagrees_closed	catalog_snapshot_open_missing_from_live	body_sha256	etag	cache_control	unsafe_empty	official_join_result
OPEN-R1-001	1	92026	NB	12645	12645	11924	9055	2869	3590	0.28390668	4	12640	5	1080	33	30	4C1673CF5A06EE2DAB7ACA3160BBEAF247B0810B277C0116ACA6CA56F7FC715A	977967432	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R1-002	1	92026	NK	12645	12645	2633	2101	532	10544	0.83384737	0	12640	5	1080	8	8	4C1673CF5A06EE2DAB7ACA3160BBEAF247B0810B277C0116ACA6CA56F7FC715A	206600	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R1-003	1	92026	CM	12645	12645	1678	1389	289	11256	0.89015421	0	12640	5	1080	2	0	4C1673CF5A06EE2DAB7ACA3160BBEAF247B0810B277C0116ACA6CA56F7FC715A	2006818613	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R1-004	1	92026	ONLINE_NB	1099	1099	1411	751	660	348	0.3166515	4	1099	0	1080	4	4	BC4754A44C87A05CDD8D3191805B5E36660F581A520409A03FD0B8CF895FB166	968726674	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R1-005	1	92026	ONLINE_NK	1099	1099	225	148	77	951	0.86533212	0	1099	0	1080	1	2	BC4754A44C87A05CDD8D3191805B5E36660F581A520409A03FD0B8CF895FB166	1736893428	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R1-006	1	92026	ONLINE_CM	1099	1099	299	181	118	918	0.83530482	0	1099	0	1080	0	0	BC4754A44C87A05CDD8D3191805B5E36660F581A520409A03FD0B8CF895FB166	2070943834	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R1-007	1	92026	B	12645	12645	0	0	0	12645	1.0	0	12640	5	1080	0	0	4C1673CF5A06EE2DAB7ACA3160BBEAF247B0810B277C0116ACA6CA56F7FC715A	1721511470	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R1-008	1	92026	CC	12645	12645	46	46	0	12599	0.9963622	0	12640	5	1080	0	0	4C1673CF5A06EE2DAB7ACA3160BBEAF247B0810B277C0116ACA6CA56F7FC715A	1568037659	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R1-009	1	92026	H	12645	12645	3	2	1	12643	0.99984183	0	12640	5	1080	0	0	4C1673CF5A06EE2DAB7ACA3160BBEAF247B0810B277C0116ACA6CA56F7FC715A	567499769	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R1-010	1	92026	CU	0	0	0	0	0	0	0	0	0	0	0	0	0	4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945	480231813	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R1-011	1	92026	MC	12645	12645	0	0	0	12645	1.0	0	12640	5	1080	0	0	4C1673CF5A06EE2DAB7ACA3160BBEAF247B0810B277C0116ACA6CA56F7FC715A	1102014200	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R1-012	1	92026	L	12645	12645	25	23	2	12622	0.9981811	0	12640	5	1080	0	0	4C1673CF5A06EE2DAB7ACA3160BBEAF247B0810B277C0116ACA6CA56F7FC715A	259635037	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R1-013	1	92026	AC	12645	12645	22	21	1	12624	0.99833926	0	12640	5	1080	0	0	4C1673CF5A06EE2DAB7ACA3160BBEAF247B0810B277C0116ACA6CA56F7FC715A	680247364	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R1-014	1	92026	J	12645	12645	0	0	0	12645	1.0	0	12640	5	1080	0	0	4C1673CF5A06EE2DAB7ACA3160BBEAF247B0810B277C0116ACA6CA56F7FC715A	1877958577	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R1-015	1	72026	NB	2069	2069	1697	1338	359	731	0.35331078	0	2053	16	827	0	0	1814D0B9FD81FA7E72E4A4DE2E1EFE7702CC418DF30D18138D050087CF5A1608	1312565701	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R1-016	1	72026	NK	2069	2069	624	520	104	1549	0.74867086	0	2053	16	827	0	0	1814D0B9FD81FA7E72E4A4DE2E1EFE7702CC418DF30D18138D050087CF5A1608	2103931801	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R1-017	1	72026	CM	2069	2069	271	195	76	1874	0.90575157	0	2053	16	827	0	0	1814D0B9FD81FA7E72E4A4DE2E1EFE7702CC418DF30D18138D050087CF5A1608	2020423910	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R1-018	1	72026	ONLINE_NB	829	829	845	565	280	264	0.31845597	0	827	2	827	0	0	366CBAE112B2918EC2AAE35C7E2C7EBB8FFCA0A2055A9582BDE844110B5A9201	1006158740	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R1-019	1	72026	ONLINE_NK	829	829	165	118	47	711	0.85765983	0	827	2	827	0	0	366CBAE112B2918EC2AAE35C7E2C7EBB8FFCA0A2055A9582BDE844110B5A9201	1282966506	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R1-020	1	72026	ONLINE_CM	829	829	180	144	36	685	0.82629674	0	827	2	827	0	0	366CBAE112B2918EC2AAE35C7E2C7EBB8FFCA0A2055A9582BDE844110B5A9201	1320363608	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
