round	term_id	body_sha256	open_rows	campus_count	campuses	request_ids	cache_control_values
1	72026	1814D0B9FD81FA7E72E4A4DE2E1EFE7702CC418DF30D18138D050087CF5A1608	2069	3	NB,NK,CM	OPEN-R1-015,OPEN-R1-016,OPEN-R1-017	max-age=30
1	72026	366CBAE112B2918EC2AAE35C7E2C7EBB8FFCA0A2055A9582BDE844110B5A9201	829	3	ONLINE_NB,ONLINE_NK,ONLINE_CM	OPEN-R1-018,OPEN-R1-019,OPEN-R1-020	max-age=30
1	92026	4C1673CF5A06EE2DAB7ACA3160BBEAF247B0810B277C0116ACA6CA56F7FC715A	12645	11	NB,NK,CM,B,CC,H,MC,L,AC,J,D	OPEN-R1-001,OPEN-R1-002,OPEN-R1-003,OPEN-R1-007,OPEN-R1-008,OPEN-R1-009,OPEN-R1-011,OPEN-R1-012,OPEN-R1-013,OPEN-R1-014,OPEN-R1-021	max-age=30
1	92026	4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945	0	1	CU	OPEN-R1-010	max-age=30
1	92026	BC4754A44C87A05CDD8D3191805B5E36660F581A520409A03FD0B8CF895FB166	1099	3	ONLINE_NB,ONLINE_NK,ONLINE_CM	OPEN-R1-004,OPEN-R1-005,OPEN-R1-006	max-age=30
2	72026	1814D0B9FD81FA7E72E4A4DE2E1EFE7702CC418DF30D18138D050087CF5A1608	2069	3	NB,NK,CM	OPEN-R2-015,OPEN-R2-016,OPEN-R2-017	max-age=30
2	72026	366CBAE112B2918EC2AAE35C7E2C7EBB8FFCA0A2055A9582BDE844110B5A9201	829	3	ONLINE_NB,ONLINE_NK,ONLINE_CM	OPEN-R2-018,OPEN-R2-019,OPEN-R2-020	max-age=30
2	92026	4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945	0	1	CU	OPEN-R2-010	max-age=30
2	92026	8FAEEB048285E44702BCEF11834475E103CBB26457A337BD636FC858CBEACBE5	12641	11	NB,NK,CM,B,CC,H,MC,L,AC,J,D	OPEN-R2-001,OPEN-R2-002,OPEN-R2-003,OPEN-R2-007,OPEN-R2-008,OPEN-R2-009,OPEN-R2-011,OPEN-R2-012,OPEN-R2-013,OPEN-R2-014,OPEN-R2-021	max-age=30
2	92026	E2BE3F98188517C57F9F214FE176C7C1FD61D17F474BC3D839FA022B65D89F36	1098	3	ONLINE_NB,ONLINE_NK,ONLINE_CM	OPEN-R2-004,OPEN-R2-005,OPEN-R2-006	max-age=30
