term_id	campus	round_1_request_id	round_2_request_id	raw_added_count	raw_removed_count	effective_open_added_count	effective_open_removed_count	body_changed	etag_changed	observation_gap_seconds
92026	NB	OPEN-R1-001	OPEN-R2-001	3	7	1	7	true	true	4684.033
92026	NK	OPEN-R1-002	OPEN-R2-002	3	7	2	0	true	true	4683.949
92026	CM	OPEN-R1-003	OPEN-R2-003	3	7	0	0	true	true	4683.852
92026	ONLINE_NB	OPEN-R1-004	OPEN-R2-004	0	1	0	1	true	true	4684.004
92026	ONLINE_NK	OPEN-R1-005	OPEN-R2-005	0	1	0	0	true	true	4683.913
92026	ONLINE_CM	OPEN-R1-006	OPEN-R2-006	0	1	0	0	true	true	4662.652
92026	B	OPEN-R1-007	OPEN-R2-007	3	7	0	0	true	true	4662.703
92026	CC	OPEN-R1-008	OPEN-R2-008	3	7	0	0	true	true	4662.503
92026	H	OPEN-R1-009	OPEN-R2-009	3	7	0	0	true	true	4662.51
92026	CU	OPEN-R1-010	OPEN-R2-010	0	0	0	0	false	true	4662.646
92026	MC	OPEN-R1-011	OPEN-R2-011	3	7	0	0	true	true	4662.555
92026	L	OPEN-R1-012	OPEN-R2-012	3	7	0	0	true	true	4662.921
92026	AC	OPEN-R1-013	OPEN-R2-013	3	7	0	0	true	true	4662.585
92026	J	OPEN-R1-014	OPEN-R2-014	3	7	0	0	true	true	4662.896
72026	NB	OPEN-R1-015	OPEN-R2-015	0	0	0	0	false	true	4662.417
72026	NK	OPEN-R1-016	OPEN-R2-016	0	0	0	0	false	true	4662.5
72026	CM	OPEN-R1-017	OPEN-R2-017	0	0	0	0	false	true	4662.723
72026	ONLINE_NB	OPEN-R1-018	OPEN-R2-018	0	0	0	0	false	true	4662.557
72026	ONLINE_NK	OPEN-R1-019	OPEN-R2-019	0	0	0	0	false	true	4662.435
72026	ONLINE_CM	OPEN-R1-020	OPEN-R2-020	0	0	0	0	false	true	4662.557
92026	D	OPEN-R1-021	OPEN-R2-021	3	7	0	0	true	true	4662.841
