trace_id	source_kind	source_ref	requirement_or_test	disposition	p4_consumer	p7_task_id	verification_gate
P4-X0001	FROZEN_INPUT	project-governance/current/p3/09-p3-validation-and-freeze-gate.md	P3_PASS and zero additional P3 Rutgers requests	FROZEN_CONSUME_ONLY	P4 preflight and all public deltas	P7-SHARED-DOMAIN	P4-GATE-PREFLIGHT
P4-X0002	FROZEN_INPUT	project-governance/current/p3/07-local-oneclick-implementation-plan.md	P3_LOCAL_ONECLICK_PLAN_FROZEN baseline shared plus local-only classification	FROZEN_CONSUME_ONLY	P4 baseline delta matrix	P7-SHARED-DOMAIN;P7-PUBLIC-SESSION;P7-PUBLIC-PACKAGE	P4-GATE-BASELINE
P4-X0003	FROZEN_INPUT	project-governance/current/p3/23a-shared-open-final-contract.md	FROZEN_P3_SHARED_OPEN_CONTRACT narrative	FROZEN_CONSUME_ONLY	P4 public Open adapter	P7-SHARED-OPEN;P7-PUBLIC-RUNTIME	P4-GATE-OPEN
P4-X0004	FROZEN_INPUT	project-governance/current/p3/23b-shared-open-final-contract.json	Machine-readable shared Open clock safety observation freshness and audio precondition	FROZEN_CONSUME_ONLY	P4 validator and P7 golden contract	P7-SHARED-OPEN;P7-PUBLIC-RUNTIME	P4-GATE-OPEN-MACHINE
P4-X0005	FROZEN_INPUT	project-governance/current/p2/06-filter-section-watch-contract.md	Approved 22 filters section watch toast audio i18n and public-vs-local state boundary	FROZEN_CONSUME_ONLY	P4 public UX contract	P7-SHARED-QUERY;P7-SHARED-WATCH;P7-SHARED-UI;P7-SHARED-I18N	P4-GATE-P2-CONTRACT
P4-X0006	FROZEN_INPUT	project-governance/current/single-mainline-delivery-workflow.md#13	P4 inherits shared baseline and adds only public deployment deltas without new Open evidence	FROZEN_CONSUME_ONLY	P4 phase authority and P7 package boundary	P7-PUBLIC-RUNTIME;P7-PUBLIC-OPS;P7-PUBLIC-PACKAGE	P4-GATE-AUTHORITY
P4-X0007	BASELINE_DELTA_TEST	P4-B001	P4-T-SHARED-DOMAIN	INHERIT_SHARED	public HTTP API; query; Open reconcile; React UI	P7-SHARED-DOMAIN	P4-GATE-INHERIT_SHARED
P4-X0008	BASELINE_DELTA_TEST	P4-B002	P4-T-CATALOG-DISCOVERY	INHERIT_SHARED	public catalog runtime; filter dictionaries; status UI	P7-SHARED-CATALOG	P4-GATE-INHERIT_SHARED
P4-X0009	BASELINE_DELTA_TEST	P4-B003	P4-T-CATALOG-INGEST	INHERIT_SHARED	public catalog store; course search; section detail	P7-SHARED-CATALOG	P4-GATE-INHERIT_SHARED
P4-X0010	BASELINE_DELTA_TEST	P4-B004	P4-T-SECTION-KEY	INHERIT_SHARED	query; routes; watch protocol; Open join	P7-SHARED-DOMAIN	P4-GATE-INHERIT_SHARED
P4-X0011	BASELINE_DELTA_TEST	P4-B005	P4-T-DELIVERY-OCCURRENCE	INHERIT_SHARED	catalog normalize; query; course and section UI	P7-SHARED-CATALOG	P4-GATE-INHERIT_SHARED
P4-X0012	BASELINE_DELTA_TEST	P4-B006	P4-T-PUBLIC-CATALOG-10M	PUBLIC_MODIFY	public refresh policy adapter; status API; UI	P7-PUBLIC-RUNTIME	P4-GATE-PUBLIC_MODIFY
P4-X0013	BASELINE_DELTA_TEST	P4-B006	P4-T-NO-USER-UPSTREAM-REFRESH	PUBLIC_MODIFY	public refresh policy adapter; status API; UI	P7-PUBLIC-RUNTIME	P4-GATE-PUBLIC_MODIFY
P4-X0014	BASELINE_DELTA_TEST	P4-B007	P4-T-CATALOG-OBSERVATION	INHERIT_SHARED	public status API; readiness; React freshness UI	P7-SHARED-CATALOG	P4-GATE-INHERIT_SHARED
P4-X0015	BASELINE_DELTA_TEST	P4-B008	P4-T-OPEN-JOIN-LKG	INHERIT_SHARED	public Open runtime; state store; filters; watchers	P7-SHARED-OPEN	P4-GATE-INHERIT_SHARED
P4-X0016	BASELINE_DELTA_TEST	P4-B009	P4-T-OPEN-PUBLIC-30S	PUBLIC_MODIFY	public refresh policy; watch demand registry; status UI	P7-PUBLIC-RUNTIME;P7-SHARED-OPEN	P4-GATE-PUBLIC_MODIFY
P4-X0017	BASELINE_DELTA_TEST	P4-B009	P4-T-OPEN-WATCH-10S	PUBLIC_MODIFY	public refresh policy; watch demand registry; status UI	P7-PUBLIC-RUNTIME;P7-SHARED-OPEN	P4-GATE-PUBLIC_MODIFY
P4-X0018	BASELINE_DELTA_TEST	P4-B010	P4-T-OPEN-SCHEDULER-SAFETY	INHERIT_SHARED	public scheduler; Rutgers client; diagnostics	P7-SHARED-OPEN	P4-GATE-INHERIT_SHARED
P4-X0019	BASELINE_DELTA_TEST	P4-B011	P4-T-OPEN-OBSERVATION-LAYERS	INHERIT_SHARED	public diagnostics store; status API; watch fanout	P7-SHARED-OPEN	P4-GATE-INHERIT_SHARED
P4-X0020	BASELINE_DELTA_TEST	P4-B012	P4-T-PUBLIC-DAY-COUNTERS	PUBLIC_MODIFY	public metrics store; status API; refresh UI	P7-PUBLIC-RUNTIME	P4-GATE-PUBLIC_MODIFY
P4-X0021	BASELINE_DELTA_TEST	P4-B013	P4-T-OPEN-FRESHNESS	INHERIT_SHARED	query; public status API; cards; section detail	P7-SHARED-OPEN;P7-SHARED-QUERY	P4-GATE-INHERIT_SHARED
P4-X0022	BASELINE_DELTA_TEST	P4-B014	P4-T-FILTER-ALGEBRA	INHERIT_SHARED	query engine; course API; section API; React results	P7-SHARED-QUERY	P4-GATE-INHERIT_SHARED
P4-X0023	BASELINE_DELTA_TEST	P4-B015	P4-T-FLT-C01	INHERIT_SHARED	FilterSchema; query; UI; i18n	P7-SHARED-QUERY;P7-SHARED-UI	P4-GATE-INHERIT_SHARED
P4-X0024	BASELINE_DELTA_TEST	P4-B016	P4-T-FLT-C02	INHERIT_SHARED	FilterSchema; query; UI; i18n	P7-SHARED-QUERY;P7-SHARED-UI	P4-GATE-INHERIT_SHARED
P4-X0025	BASELINE_DELTA_TEST	P4-B017	P4-T-FLT-C03	INHERIT_SHARED	FilterSchema; query; UI; i18n	P7-SHARED-QUERY;P7-SHARED-UI	P4-GATE-INHERIT_SHARED
P4-X0026	BASELINE_DELTA_TEST	P4-B018	P4-T-FLT-C04	INHERIT_SHARED	FTS5; query; course UI	P7-SHARED-QUERY;P7-SHARED-UI	P4-GATE-INHERIT_SHARED
P4-X0027	BASELINE_DELTA_TEST	P4-B019	P4-T-FLT-C05	INHERIT_SHARED	FilterSchema; query; UI	P7-SHARED-QUERY;P7-SHARED-UI	P4-GATE-INHERIT_SHARED
P4-X0028	BASELINE_DELTA_TEST	P4-B020	P4-T-FLT-C06	INHERIT_SHARED	FilterSchema; query; UI	P7-SHARED-QUERY;P7-SHARED-UI	P4-GATE-INHERIT_SHARED
P4-X0029	BASELINE_DELTA_TEST	P4-B021	P4-T-FLT-C07	INHERIT_SHARED	FilterSchema; query; UI	P7-SHARED-QUERY;P7-SHARED-UI	P4-GATE-INHERIT_SHARED
P4-X0030	BASELINE_DELTA_TEST	P4-B022	P4-T-FLT-C08	INHERIT_SHARED	FilterSchema; query; UI	P7-SHARED-QUERY;P7-SHARED-UI	P4-GATE-INHERIT_SHARED
P4-X0031	BASELINE_DELTA_TEST	P4-B023	P4-T-FLT-C09	INHERIT_SHARED	FilterSchema; query; UI	P7-SHARED-QUERY;P7-SHARED-UI	P4-GATE-INHERIT_SHARED
P4-X0032	BASELINE_DELTA_TEST	P4-B024	P4-T-FLT-C10	INHERIT_SHARED	FilterSchema; query; UI	P7-SHARED-QUERY;P7-SHARED-UI	P4-GATE-INHERIT_SHARED
P4-X0033	BASELINE_DELTA_TEST	P4-B025	P4-T-FLT-S01	INHERIT_SHARED	FilterSchema; section query; UI	P7-SHARED-QUERY;P7-SHARED-UI	P4-GATE-INHERIT_SHARED
P4-X0034	BASELINE_DELTA_TEST	P4-B026	P4-T-FLT-S02	INHERIT_SHARED	FilterSchema; section query; UI	P7-SHARED-QUERY;P7-SHARED-UI	P4-GATE-INHERIT_SHARED
P4-X0035	BASELINE_DELTA_TEST	P4-B027	P4-T-FLT-S03	INHERIT_SHARED	FilterSchema; query; Open state; UI	P7-SHARED-QUERY;P7-SHARED-OPEN;P7-SHARED-UI	P4-GATE-INHERIT_SHARED
P4-X0036	BASELINE_DELTA_TEST	P4-B028	P4-T-FLT-S04a	INHERIT_SHARED	FilterSchema; normalize; query; UI	P7-SHARED-CATALOG;P7-SHARED-QUERY;P7-SHARED-UI	P4-GATE-INHERIT_SHARED
P4-X0037	BASELINE_DELTA_TEST	P4-B029	P4-T-FLT-S04b	INHERIT_SHARED	FilterSchema; normalize; query; UI	P7-SHARED-CATALOG;P7-SHARED-QUERY;P7-SHARED-UI	P4-GATE-INHERIT_SHARED
P4-X0038	BASELINE_DELTA_TEST	P4-B030	P4-T-FLT-S05	INHERIT_SHARED	FilterSchema; query; UI	P7-SHARED-QUERY;P7-SHARED-UI	P4-GATE-INHERIT_SHARED
P4-X0039	BASELINE_DELTA_TEST	P4-B031	P4-T-FLT-S06	INHERIT_SHARED	FilterSchema; occurrence query; UI reasons	P7-SHARED-QUERY;P7-SHARED-UI	P4-GATE-INHERIT_SHARED
P4-X0040	BASELINE_DELTA_TEST	P4-B032	P4-T-FLT-S07	INHERIT_SHARED	FilterSchema; occurrence query; UI	P7-SHARED-QUERY;P7-SHARED-UI	P4-GATE-INHERIT_SHARED
P4-X0041	BASELINE_DELTA_TEST	P4-B033	P4-T-FLT-S08	INHERIT_SHARED	FilterSchema; occurrence query; UI	P7-SHARED-QUERY;P7-SHARED-UI	P4-GATE-INHERIT_SHARED
P4-X0042	BASELINE_DELTA_TEST	P4-B034	P4-T-FLT-S09	INHERIT_SHARED	FilterSchema; section query; UI	P7-SHARED-QUERY;P7-SHARED-UI	P4-GATE-INHERIT_SHARED
P4-X0043	BASELINE_DELTA_TEST	P4-B035	P4-T-FLT-S10	INHERIT_SHARED	FilterSchema; section query; UI	P7-SHARED-QUERY;P7-SHARED-UI	P4-GATE-INHERIT_SHARED
P4-X0044	BASELINE_DELTA_TEST	P4-B036	P4-T-FLT-S11	INHERIT_SHARED	FilterSchema; section query; UI	P7-SHARED-QUERY;P7-SHARED-UI	P4-GATE-INHERIT_SHARED
P4-X0045	BASELINE_DELTA_TEST	P4-B037	P4-T-COURSE-CENTERED	INHERIT_SHARED	course API; React cards; responsive UI	P7-SHARED-UI;P7-SHARED-QUERY	P4-GATE-INHERIT_SHARED
P4-X0046	BASELINE_DELTA_TEST	P4-B038	P4-T-SECTION-DETAIL-DIRECT	INHERIT_SHARED	section API; router fallback; React detail	P7-SHARED-UI;P7-SHARED-QUERY	P4-GATE-INHERIT_SHARED
P4-X0047	BASELINE_DELTA_TEST	P4-B039	P4-T-PUBLIC-SELECTION-EPHEMERAL	PUBLIC_MODIFY	public session adapter; chooser UI; watch start	P7-PUBLIC-SESSION;P7-SHARED-WATCH	P4-GATE-PUBLIC_MODIFY
P4-X0048	BASELINE_DELTA_TEST	P4-B040	P4-T-WATCH-LIFECYCLE	INHERIT_SHARED	WebSocket runtime; session UI; Open fanout	P7-SHARED-WATCH	P4-GATE-INHERIT_SHARED
P4-X0049	BASELINE_DELTA_TEST	P4-B041	P4-T-WS-FANOUT	INHERIT_SHARED	public WebSocket endpoint; watch runtime; UI	P7-SHARED-WATCH;P7-PUBLIC-RUNTIME	P4-GATE-INHERIT_SHARED
P4-X0050	BASELINE_DELTA_TEST	P4-B042	P4-T-WATCH-MAX-NINE	INHERIT_SHARED	selection UI; watch API; tests	P7-SHARED-WATCH;P7-SHARED-UI	P4-GATE-INHERIT_SHARED
P4-X0051	BASELINE_DELTA_TEST	P4-B043	P4-T-TOAST-EPISODE	INHERIT_SHARED	React alert center; watch frames; a11y	P7-SHARED-UI;P7-SHARED-WATCH	P4-GATE-INHERIT_SHARED
P4-X0052	BASELINE_DELTA_TEST	P4-B044	P4-T-ONE-SHOT-MAX-AUDIBLE	INHERIT_SHARED	browser mixer; alert state; watch UI	P7-SHARED-UI;P7-SHARED-WATCH	P4-GATE-INHERIT_SHARED
P4-X0053	BASELINE_DELTA_TEST	P4-B045	P4-T-CONTINUOUS-ALARM	INHERIT_SHARED	browser mixer; episode state; alert UI	P7-SHARED-UI;P7-SHARED-WATCH	P4-GATE-INHERIT_SHARED
P4-X0054	BASELINE_DELTA_TEST	P4-B046	P4-T-BROWSER-AUDIO	INHERIT_SHARED	React audio service; accessibility UI	P7-SHARED-UI	P4-GATE-INHERIT_SHARED
P4-X0055	BASELINE_DELTA_TEST	P4-B047	P4-T-PUBLIC-HISTORY-EPHEMERAL	PUBLIC_MODIFY	public session adapter; React alert list	P7-PUBLIC-SESSION;P7-SHARED-UI	P4-GATE-PUBLIC_MODIFY
