capability_id	source_refs	p4_delta_id	capability	classification	semantic_owner	module_boundary	local_consumer	public_consumer	build_edge	acceptance_test_id	p7_task_ids
P5-C001	P4-B001;P3-07-§4.1	P4-B001	SHARED_DOMAIN SectionKey CourseGroup Variant three-valued algebra	SHARED	SHARED_BUSINESS_CORE	crates/bcsp-domain	local:public HTTP API; query; Open reconcile; React UI	public:public HTTP API; query; Open reconcile; React UI	shared_core->local_entry;shared_core->public_entry	P5-T-C001-SHARED	P7-SHARED-DOMAIN
P5-C002	P4-B002;P3-07-§6.1	P4-B002	CATALOG current term campus subject dictionaries	SHARED	SHARED_BUSINESS_CORE	crates/bcsp-catalog	local:public catalog runtime; filter dictionaries; status UI	public:public catalog runtime; filter dictionaries; status UI	shared_core->local_entry;shared_core->public_entry	P5-T-C002-SHARED	P7-SHARED-CATALOG
P5-C003	P4-B003;P3-07-§5.2;§6	P4-B003	CATALOG target-scoped ingest and CourseGroup Variant model	SHARED	SHARED_BUSINESS_CORE	crates/bcsp-catalog	local:public catalog store; course search; section detail	public:public catalog store; course search; section detail	shared_core->local_entry;shared_core->public_entry	P5-T-C003-SHARED	P7-SHARED-CATALOG
P5-C004	P4-B004;P3-09-§2;P3-07-§5	P4-B004	SECTION_IDENTITY term campus index	SHARED	SHARED_BUSINESS_CORE	crates/bcsp-domain	local:query; routes; watch protocol; Open join	public:query; routes; watch protocol; Open join	shared_core->local_entry;shared_core->public_entry	P5-T-C004-SHARED	P7-SHARED-DOMAIN
P5-C005	P4-B005;P3-07-§5.4-§5.5	P4-B005	COURSE_SECTION normalization Delivery occurrence provenance	SHARED	SHARED_BUSINESS_CORE	crates/bcsp-catalog	local:catalog normalize; query; course and section UI	public:catalog normalize; query; course and section UI	shared_core->local_entry;shared_core->public_entry	P5-T-C005-SHARED	P7-SHARED-CATALOG
P5-C006	P4-B006;P3-07-§6.2;workflow-§13	P4-B006	CATALOG_REFRESH fixed public schedule	PUBLIC_ONLY	PUBLIC_ADAPTER	apps/bcsp-public/runtime_adapter	NONE	public:public refresh policy adapter; status API; UI	public_adapter->public_entry	P5-T-C006-PUBLIC;P5-T-C006-NOLOCAL	P7-PUBLIC-RUNTIME
P5-C007	P4-B007;P3-07-§6;§12.1	P4-B007	CATALOG_REFRESH observations timestamps and partial target status	SHARED	SHARED_BUSINESS_CORE	crates/bcsp-catalog	local:public status API; readiness; React freshness UI	public:public status API; readiness; React freshness UI	shared_core->local_entry;shared_core->public_entry	P5-T-C007-SHARED	P7-SHARED-CATALOG
P5-C008	P4-B008;P3-23a-§2-§3	P4-B008	OPEN_POLLING OpenBatchKey join reconcile and LKG	SHARED	SHARED_BUSINESS_CORE	crates/bcsp-open	local:public Open runtime; state store; filters; watchers	public:public Open runtime; state store; filters; watchers	shared_core->local_entry;shared_core->public_entry	P5-T-C008-SHARED	P7-SHARED-OPEN
P5-C009	P4-B009;P3-23a-§4;P3-09-§4	P4-B009	OPEN_POLLING public two-clock cadence	PUBLIC_ONLY	PUBLIC_ADAPTER	apps/bcsp-public/runtime_adapter	NONE	public:public refresh policy; watch demand registry; status UI	public_adapter->public_entry	P5-T-C009-PUBLIC;P5-T-C009-NOLOCAL	P7-PUBLIC-RUNTIME;P7-SHARED-OPEN
P5-C010	P4-B010;P3-23a-§4-§5	P4-B010	OPEN_POLLING scheduling transport backoff circuit	SHARED	SHARED_BUSINESS_CORE	crates/bcsp-open	local:public scheduler; Rutgers client; diagnostics	public:public scheduler; Rutgers client; diagnostics	shared_core->local_entry;shared_core->public_entry	P5-T-C010-SHARED	P7-SHARED-OPEN
P5-C011	P4-B011;P3-23a-§6	P4-B011	OPEN_POLLING observation layers and bounded diagnostics	SHARED	SHARED_BUSINESS_CORE	crates/bcsp-open	local:public diagnostics store; status API; watch fanout	public:public diagnostics store; status API; watch fanout	shared_core->local_entry;shared_core->public_entry	P5-T-C011-SHARED	P7-SHARED-OPEN
P5-C012	P4-B012;P3-23a-§6;P2-06-§11.3	P4-B012	OPEN_POLLING public counters	PUBLIC_ONLY	PUBLIC_ADAPTER	apps/bcsp-public/runtime_adapter	NONE	public:public metrics store; status API; refresh UI	public_adapter->public_entry	P5-T-C012-PUBLIC;P5-T-C012-NOLOCAL	P7-PUBLIC-RUNTIME
P5-C013	P4-B013;P3-23a-§6	P4-B013	OPEN_POLLING freshness lag and uncertainty	SHARED	SHARED_BUSINESS_CORE	crates/bcsp-open	local:query; public status API; cards; section detail	public:query; public status API; cards; section detail	shared_core->local_entry;shared_core->public_entry	P5-T-C013-SHARED	P7-SHARED-OPEN;P7-SHARED-QUERY
P5-C014	P4-B014;P2-06-§2-§3	P4-B014	FILTERING three-valued algebra same-section same-variant witness	SHARED	SHARED_BUSINESS_CORE	crates/bcsp-query	local:query engine; course API; section API; React results	public:query engine; course API; section API; React results	shared_core->local_entry;shared_core->public_entry	P5-T-C014-SHARED	P7-SHARED-QUERY
P5-C015	P4-B015;P2-06-FLT-C01;P3-07-§7	P4-B015	FILTERING FLT-C01 Term	SHARED	SHARED_BUSINESS_CORE	crates/bcsp-query	local:FilterSchema; query; UI; i18n	public:FilterSchema; query; UI; i18n	shared_core->local_entry;shared_core->public_entry	P5-T-C015-SHARED	P7-SHARED-QUERY;P7-SHARED-UI
P5-C016	P4-B016;P2-06-FLT-C02;P3-07-§7	P4-B016	FILTERING FLT-C02 Campus	SHARED	SHARED_BUSINESS_CORE	crates/bcsp-query	local:FilterSchema; query; UI; i18n	public:FilterSchema; query; UI; i18n	shared_core->local_entry;shared_core->public_entry	P5-T-C016-SHARED	P7-SHARED-QUERY;P7-SHARED-UI
P5-C017	P4-B017;P2-06-FLT-C03;P3-07-§7	P4-B017	FILTERING FLT-C03 Subject	SHARED	SHARED_BUSINESS_CORE	crates/bcsp-query	local:FilterSchema; query; UI; i18n	public:FilterSchema; query; UI; i18n	shared_core->local_entry;shared_core->public_entry	P5-T-C017-SHARED	P7-SHARED-QUERY;P7-SHARED-UI
P5-C018	P4-B018;P2-06-FLT-C04;P3-07-§7.4	P4-B018	FILTERING FLT-C04 Free-text search	SHARED	SHARED_BUSINESS_CORE	crates/bcsp-query	local:FTS5; query; course UI	public:FTS5; query; course UI	shared_core->local_entry;shared_core->public_entry	P5-T-C018-SHARED	P7-SHARED-QUERY;P7-SHARED-UI
P5-C019	P4-B019;P2-06-FLT-C05;P3-07-§7	P4-B019	FILTERING FLT-C05 Course number	SHARED	SHARED_BUSINESS_CORE	crates/bcsp-query	local:FilterSchema; query; UI	public:FilterSchema; query; UI	shared_core->local_entry;shared_core->public_entry	P5-T-C019-SHARED	P7-SHARED-QUERY;P7-SHARED-UI
P5-C020	P4-B020;P2-06-FLT-C06;P3-07-§7	P4-B020	FILTERING FLT-C06 Level	SHARED	SHARED_BUSINESS_CORE	crates/bcsp-query	local:FilterSchema; query; UI	public:FilterSchema; query; UI	shared_core->local_entry;shared_core->public_entry	P5-T-C020-SHARED	P7-SHARED-QUERY;P7-SHARED-UI
P5-C021	P4-B021;P2-06-FLT-C07;P3-07-§7	P4-B021	FILTERING FLT-C07 Credits	SHARED	SHARED_BUSINESS_CORE	crates/bcsp-query	local:FilterSchema; query; UI	public:FilterSchema; query; UI	shared_core->local_entry;shared_core->public_entry	P5-T-C021-SHARED	P7-SHARED-QUERY;P7-SHARED-UI
P5-C022	P4-B022;P2-06-FLT-C08;P3-07-§7	P4-B022	FILTERING FLT-C08 Core code	SHARED	SHARED_BUSINESS_CORE	crates/bcsp-query	local:FilterSchema; query; UI	public:FilterSchema; query; UI	shared_core->local_entry;shared_core->public_entry	P5-T-C022-SHARED	P7-SHARED-QUERY;P7-SHARED-UI
P5-C023	P4-B023;P2-06-FLT-C09;P3-07-§7	P4-B023	FILTERING FLT-C09 Prerequisite presence	SHARED	SHARED_BUSINESS_CORE	crates/bcsp-query	local:FilterSchema; query; UI	public:FilterSchema; query; UI	shared_core->local_entry;shared_core->public_entry	P5-T-C023-SHARED	P7-SHARED-QUERY;P7-SHARED-UI
P5-C024	P4-B024;P2-06-FLT-C10;P3-07-§7	P4-B024	FILTERING FLT-C10 Course campus location	SHARED	SHARED_BUSINESS_CORE	crates/bcsp-query	local:FilterSchema; query; UI	public:FilterSchema; query; UI	shared_core->local_entry;shared_core->public_entry	P5-T-C024-SHARED	P7-SHARED-QUERY;P7-SHARED-UI
P5-C025	P4-B025;P2-06-FLT-S01;P3-07-§7	P4-B025	FILTERING FLT-S01 Section index	SHARED	SHARED_BUSINESS_CORE	crates/bcsp-query	local:FilterSchema; section query; UI	public:FilterSchema; section query; UI	shared_core->local_entry;shared_core->public_entry	P5-T-C025-SHARED	P7-SHARED-QUERY;P7-SHARED-UI
P5-C026	P4-B026;P2-06-FLT-S02;P3-07-§7	P4-B026	FILTERING FLT-S02 Section number	SHARED	SHARED_BUSINESS_CORE	crates/bcsp-query	local:FilterSchema; section query; UI	public:FilterSchema; section query; UI	shared_core->local_entry;shared_core->public_entry	P5-T-C026-SHARED	P7-SHARED-QUERY;P7-SHARED-UI
P5-C027	P4-B027;P2-06-FLT-S03;P3-23a-§6	P4-B027	FILTERING FLT-S03 Open status	SHARED	SHARED_BUSINESS_CORE	crates/bcsp-query	local:FilterSchema; query; Open state; UI	public:FilterSchema; query; Open state; UI	shared_core->local_entry;shared_core->public_entry	P5-T-C027-SHARED	P7-SHARED-QUERY;P7-SHARED-OPEN;P7-SHARED-UI
P5-C028	P4-B028;P2-06-FLT-S04a;P3-07-§5.5	P4-B028	FILTERING FLT-S04a Delivery modality	SHARED	SHARED_BUSINESS_CORE	crates/bcsp-query	local:FilterSchema; normalize; query; UI	public:FilterSchema; normalize; query; UI	shared_core->local_entry;shared_core->public_entry	P5-T-C028-SHARED	P7-SHARED-CATALOG;P7-SHARED-QUERY;P7-SHARED-UI
P5-C029	P4-B029;P2-06-FLT-S04b;P3-07-§5.5	P4-B029	FILTERING FLT-S04b Delivery synchronicity	SHARED	SHARED_BUSINESS_CORE	crates/bcsp-query	local:FilterSchema; normalize; query; UI	public:FilterSchema; normalize; query; UI	shared_core->local_entry;shared_core->public_entry	P5-T-C029-SHARED	P7-SHARED-CATALOG;P7-SHARED-QUERY;P7-SHARED-UI
P5-C030	P4-B030;P2-06-FLT-S05;P3-07-§7	P4-B030	FILTERING FLT-S05 Instructor	SHARED	SHARED_BUSINESS_CORE	crates/bcsp-query	local:FilterSchema; query; UI	public:FilterSchema; query; UI	shared_core->local_entry;shared_core->public_entry	P5-T-C030-SHARED	P7-SHARED-QUERY;P7-SHARED-UI
P5-C031	P4-B031;P2-06-FLT-S06;P3-07-§7.3	P4-B031	FILTERING FLT-S06 Weekly occurrence availability	SHARED	SHARED_BUSINESS_CORE	crates/bcsp-query	local:FilterSchema; occurrence query; UI reasons	public:FilterSchema; occurrence query; UI reasons	shared_core->local_entry;shared_core->public_entry	P5-T-C031-SHARED	P7-SHARED-QUERY;P7-SHARED-UI
P5-C032	P4-B032;P2-06-FLT-S07;P3-07-§7	P4-B032	FILTERING FLT-S07 Meeting campus location	SHARED	SHARED_BUSINESS_CORE	crates/bcsp-query	local:FilterSchema; occurrence query; UI	public:FilterSchema; occurrence query; UI	shared_core->local_entry;shared_core->public_entry	P5-T-C032-SHARED	P7-SHARED-QUERY;P7-SHARED-UI
