trace_id	source_kind	source_ref	requirement_id	capability_id	classification	implementation_target	verification_test_ids	p7_task_ids	p6_handoff	gate_status
P5-X0001	CAPABILITY_CLASSIFICATION	P4-B001;P4-B001;P3-07-§4.1	P5-C001	P5-C001	SHARED	crates/bcsp-domain	P5-T-C001-SHARED	P7-SHARED-DOMAIN	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0002	CAPABILITY_CLASSIFICATION	P4-B002;P4-B002;P3-07-§6.1	P5-C002	P5-C002	SHARED	crates/bcsp-catalog	P5-T-C002-SHARED	P7-SHARED-CATALOG	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0003	CAPABILITY_CLASSIFICATION	P4-B003;P4-B003;P3-07-§5.2;§6	P5-C003	P5-C003	SHARED	crates/bcsp-catalog	P5-T-C003-SHARED	P7-SHARED-CATALOG	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0004	CAPABILITY_CLASSIFICATION	P4-B004;P4-B004;P3-09-§2;P3-07-§5	P5-C004	P5-C004	SHARED	crates/bcsp-domain	P5-T-C004-SHARED	P7-SHARED-DOMAIN	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0005	CAPABILITY_CLASSIFICATION	P4-B005;P4-B005;P3-07-§5.4-§5.5	P5-C005	P5-C005	SHARED	crates/bcsp-catalog	P5-T-C005-SHARED	P7-SHARED-CATALOG	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0006	CAPABILITY_CLASSIFICATION	P4-B006;P4-B006;P3-07-§6.2;workflow-§13	P5-C006	P5-C006	PUBLIC_ONLY	apps/bcsp-public/runtime_adapter	P5-T-C006-PUBLIC;P5-T-C006-NOLOCAL	P7-PUBLIC-RUNTIME	P6-INTEGRATE-PUBLIC_ONLY	MAPPED_TO_P7
P5-X0007	CAPABILITY_CLASSIFICATION	P4-B007;P4-B007;P3-07-§6;§12.1	P5-C007	P5-C007	SHARED	crates/bcsp-catalog	P5-T-C007-SHARED	P7-SHARED-CATALOG	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0008	CAPABILITY_CLASSIFICATION	P4-B008;P4-B008;P3-23a-§2-§3	P5-C008	P5-C008	SHARED	crates/bcsp-open	P5-T-C008-SHARED	P7-SHARED-OPEN	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0009	CAPABILITY_CLASSIFICATION	P4-B009;P4-B009;P3-23a-§4;P3-09-§4	P5-C009	P5-C009	PUBLIC_ONLY	apps/bcsp-public/runtime_adapter	P5-T-C009-PUBLIC;P5-T-C009-NOLOCAL	P7-PUBLIC-RUNTIME;P7-SHARED-OPEN	P6-INTEGRATE-PUBLIC_ONLY	MAPPED_TO_P7
P5-X0010	CAPABILITY_CLASSIFICATION	P4-B010;P4-B010;P3-23a-§4-§5	P5-C010	P5-C010	SHARED	crates/bcsp-open	P5-T-C010-SHARED	P7-SHARED-OPEN	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0011	CAPABILITY_CLASSIFICATION	P4-B011;P4-B011;P3-23a-§6	P5-C011	P5-C011	SHARED	crates/bcsp-open	P5-T-C011-SHARED	P7-SHARED-OPEN	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0012	CAPABILITY_CLASSIFICATION	P4-B012;P4-B012;P3-23a-§6;P2-06-§11.3	P5-C012	P5-C012	PUBLIC_ONLY	apps/bcsp-public/runtime_adapter	P5-T-C012-PUBLIC;P5-T-C012-NOLOCAL	P7-PUBLIC-RUNTIME	P6-INTEGRATE-PUBLIC_ONLY	MAPPED_TO_P7
P5-X0013	CAPABILITY_CLASSIFICATION	P4-B013;P4-B013;P3-23a-§6	P5-C013	P5-C013	SHARED	crates/bcsp-open	P5-T-C013-SHARED	P7-SHARED-OPEN;P7-SHARED-QUERY	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0014	CAPABILITY_CLASSIFICATION	P4-B014;P4-B014;P2-06-§2-§3	P5-C014	P5-C014	SHARED	crates/bcsp-query	P5-T-C014-SHARED	P7-SHARED-QUERY	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0015	CAPABILITY_CLASSIFICATION	P4-B015;P4-B015;P2-06-FLT-C01;P3-07-§7	P5-C015	P5-C015	SHARED	crates/bcsp-query	P5-T-C015-SHARED	P7-SHARED-QUERY;P7-SHARED-UI	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0016	CAPABILITY_CLASSIFICATION	P4-B016;P4-B016;P2-06-FLT-C02;P3-07-§7	P5-C016	P5-C016	SHARED	crates/bcsp-query	P5-T-C016-SHARED	P7-SHARED-QUERY;P7-SHARED-UI	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0017	CAPABILITY_CLASSIFICATION	P4-B017;P4-B017;P2-06-FLT-C03;P3-07-§7	P5-C017	P5-C017	SHARED	crates/bcsp-query	P5-T-C017-SHARED	P7-SHARED-QUERY;P7-SHARED-UI	P6-INTEGRATE-SHARED	MAPPED_TO_P7
P5-X0018	CAPABILITY_CLASSIFICATION	P4-B018;P4-B018;P2-06-FLT-C04;P3-07-§7.4	P5-C018	P5-C018	SHARED	crates/bcsp-query	P5-T-C018-SHARED	P7-SHARED-QUERY;P7-SHARED-UI	P6-INTEGRATE-SHARED	MAPPED_TO_P7
