ecosystem	name	version	license_expression	decision	scope	direct	lock_key	decision_reason	target_evidence
npm	@asamuzakjp/css-color	5.1.11	MIT	APPROVED	dev	false	npm:node_modules/@asamuzakjp/css-color	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@asamuzakjp/dom-selector	7.1.1	MIT	APPROVED	dev	false	npm:node_modules/@asamuzakjp/dom-selector	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@asamuzakjp/generational-cache	1.0.1	MIT	APPROVED	dev	false	npm:node_modules/@asamuzakjp/generational-cache	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@asamuzakjp/nwsapi	2.3.9	MIT	APPROVED	dev	false	npm:node_modules/@asamuzakjp/nwsapi	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@babel/code-frame	7.27.1	MIT	APPROVED	dev	false	npm:node_modules/@babel/code-frame	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@babel/helper-validator-identifier	7.28.5	MIT	APPROVED	dev	false	npm:node_modules/@babel/helper-validator-identifier	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@babel/runtime	7.29.7	MIT	APPROVED	runtime	false	npm:node_modules/@babel/runtime	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@bramus/specificity	2.4.2	MIT	APPROVED	dev	false	npm:node_modules/@bramus/specificity	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@csstools/color-helpers	6.1.0	MIT-0	APPROVED	dev	false	npm:node_modules/@csstools/color-helpers	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@csstools/css-calc	3.2.1	MIT	APPROVED	dev	false	npm:node_modules/@csstools/css-calc	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
npm	@csstools/css-color-parser	4.1.9	MIT	APPROVED	dev	false	npm:node_modules/@csstools/css-color-parser	SPDX_POLICY_SATISFIED	NOT_APPLICABLE
