ecosystem	name	version	license_file	sha256	lock_key	evidence_status	reason
npm	@asamuzakjp/css-color	5.1.11	LICENSE	BD4539377980DD797FC6A51D90E664E52B2B2625B2158F01D4C68B5FE107EACB	npm:node_modules/@asamuzakjp/css-color	HASHED	PACKAGED_LICENSE_FILE
npm	@asamuzakjp/dom-selector	7.1.1	LICENSE	7CDF9DB3B91CC77B9EC947AD0C7126140F00E34528B67C3A58E9FC1A98055E14	npm:node_modules/@asamuzakjp/dom-selector	HASHED	PACKAGED_LICENSE_FILE
npm	@asamuzakjp/generational-cache	1.0.1	LICENSE	B4206276487160066D7006579DA64B1E104F0DB639897D5B91BABDD0DF8165E1	npm:node_modules/@asamuzakjp/generational-cache	HASHED	PACKAGED_LICENSE_FILE
npm	@asamuzakjp/nwsapi	2.3.9	LICENSE	9B0FFD74F2CDE7528141CC314ECE705490D11054805DA4A01EE6149498951B8F	npm:node_modules/@asamuzakjp/nwsapi	HASHED	PACKAGED_LICENSE_FILE
npm	@babel/code-frame	7.27.1	LICENSE	117DA2AF0D4CE0FE1C8E19B5CFF9DCD806ADF973D328D27B11D4448C4FF24F76	npm:node_modules/@babel/code-frame	HASHED	PACKAGED_LICENSE_FILE
npm	@babel/helper-validator-identifier	7.28.5	LICENSE	117DA2AF0D4CE0FE1C8E19B5CFF9DCD806ADF973D328D27B11D4448C4FF24F76	npm:node_modules/@babel/helper-validator-identifier	HASHED	PACKAGED_LICENSE_FILE
npm	@babel/runtime	7.29.7	LICENSE	117DA2AF0D4CE0FE1C8E19B5CFF9DCD806ADF973D328D27B11D4448C4FF24F76	npm:node_modules/@babel/runtime	HASHED	PACKAGED_LICENSE_FILE
npm	@bramus/specificity	2.4.2	LICENSE	AE842A63DD9BC829C95A2EC22DDA25A08E422A368B71DBCA67A45CDE7C4A4B81	npm:node_modules/@bramus/specificity	HASHED	PACKAGED_LICENSE_FILE
npm	@csstools/color-helpers	6.1.0	LICENSE.md	947E32047A166CD05F04E45938D172B412C07CBEE0B9735AFD14BAE30E02C2F6	npm:node_modules/@csstools/color-helpers	HASHED	PACKAGED_LICENSE_FILE
npm	@csstools/css-calc	3.2.1	LICENSE.md	D00D032F517721B45C56C70C46BF904EBB71AD313DF4D4DB7722266B38069665	npm:node_modules/@csstools/css-calc	HASHED	PACKAGED_LICENSE_FILE
npm	@csstools/css-color-parser	4.1.9	LICENSE.md	D00D032F517721B45C56C70C46BF904EBB71AD313DF4D4DB7722266B38069665	npm:node_modules/@csstools/css-color-parser	HASHED	PACKAGED_LICENSE_FILE
