ecosystem	name	version	scope	direct	source	checksum	lock_key
npm	@asamuzakjp/css-color	5.1.11	dev	false	registry:npmjs	sha512-KVw6qIiCTUQhByfTd78h2yD1/00waTmm9uy/R7Ck/ctUyAPj+AEDLkQIdJW0T8+qGgj3j5bpNKK7Q3G+LedJWg==	npm:node_modules/@asamuzakjp/css-color
npm	@asamuzakjp/dom-selector	7.1.1	dev	false	registry:npmjs	sha512-67RZDnYRc8H/8MLDgQCDE//zoqVFwajkepHZgmXrbwybzXOEwOWGPYGmALYl9J2DOLfFPPs6kKCqmbzV895hTQ==	npm:node_modules/@asamuzakjp/dom-selector
npm	@asamuzakjp/generational-cache	1.0.1	dev	false	registry:npmjs	sha512-wajfB8KqzMCN2KGNFdLkReeHncd0AslUSrvHVvvYWuU8ghncRJoA50kT3zP9MVL0+9g4/67H+cdvBskj9THPzg==	npm:node_modules/@asamuzakjp/generational-cache
npm	@asamuzakjp/nwsapi	2.3.9	dev	false	registry:npmjs	sha512-n8GuYSrI9bF7FFZ/SjhwevlHc8xaVlb/7HmHelnc/PZXBD2ZR49NnN9sMMuDdEGPeeRQ5d0hqlSlEpgCX3Wl0Q==	npm:node_modules/@asamuzakjp/nwsapi
npm	@babel/code-frame	7.27.1	dev	false	registry:npmjs	sha512-cjQ7ZlQ0Mv3b47hABuTevyTuYN4i+loJKGeV9flcCgIK37cCXRh+L1bd3iBHlynerhQ7BhCkn2BPbQUL+rGqFg==	npm:node_modules/@babel/code-frame
npm	@babel/helper-validator-identifier	7.28.5	dev	false	registry:npmjs	sha512-qSs4ifwzKJSV39ucNjsvc6WVHs6b7S03sOh2OcHF9UHfVPqWWALUsNUVzhSBiItjRZoLHx7nIarVjqKVusUZ1Q==	npm:node_modules/@babel/helper-validator-identifier
npm	@babel/runtime	7.29.7	runtime	false	registry:npmjs	sha512-Nq8OhGWiZIZGV6hLHoyAKLLcJihP/xFeBMGJoUrxTX2psI8dCifzLhZISFb+VWS3wFMRDmCGw5R+dOySCqPLhw==	npm:node_modules/@babel/runtime
npm	@bramus/specificity	2.4.2	dev	false	registry:npmjs	sha512-ctxtJ/eA+t+6q2++vj5j7FYX3nRu311q1wfYH3xjlLOsczhlhxAg2FWNUXhpGvAw3BWo1xBcvOV6/YLc2r5FJw==	npm:node_modules/@bramus/specificity
npm	@csstools/color-helpers	6.1.0	dev	false	registry:npmjs	sha512-064IFJdjTfUqnjpCVpMOdbr8FLQBhinbZj6yRv2An2E41O/pLEXqfFRWqGq/SxlE5PEUYTlvWsG2r8MswAVvkg==	npm:node_modules/@csstools/color-helpers
npm	@csstools/css-calc	3.2.1	dev	false	registry:npmjs	sha512-DtdHlgXh5ZkA43cwBcAm+huzgJiwx3ZTWVjBs94kwz2xKqSimDA3lBgCjphYgwgVUMWatSM0pDd8TILB1yrVVg==	npm:node_modules/@csstools/css-calc
