ecosystem	name	version	metadata_url	license_expression	verification	lock_key
npm	@asamuzakjp/css-color	5.1.11	https://registry.npmjs.org/%40asamuzakjp%2Fcss-color/5.1.11	MIT	PASS	npm:node_modules/@asamuzakjp/css-color
npm	@asamuzakjp/dom-selector	7.1.1	https://registry.npmjs.org/%40asamuzakjp%2Fdom-selector/7.1.1	MIT	PASS	npm:node_modules/@asamuzakjp/dom-selector
npm	@asamuzakjp/generational-cache	1.0.1	https://registry.npmjs.org/%40asamuzakjp%2Fgenerational-cache/1.0.1	MIT	PASS	npm:node_modules/@asamuzakjp/generational-cache
npm	@asamuzakjp/nwsapi	2.3.9	https://registry.npmjs.org/%40asamuzakjp%2Fnwsapi/2.3.9	MIT	PASS	npm:node_modules/@asamuzakjp/nwsapi
npm	@babel/code-frame	7.27.1	https://registry.npmjs.org/%40babel%2Fcode-frame/7.27.1	MIT	PASS	npm:node_modules/@babel/code-frame
npm	@babel/helper-validator-identifier	7.28.5	https://registry.npmjs.org/%40babel%2Fhelper-validator-identifier/7.28.5	MIT	PASS	npm:node_modules/@babel/helper-validator-identifier
npm	@babel/runtime	7.29.7	https://registry.npmjs.org/%40babel%2Fruntime/7.29.7	MIT	PASS	npm:node_modules/@babel/runtime
npm	@bramus/specificity	2.4.2	https://registry.npmjs.org/%40bramus%2Fspecificity/2.4.2	MIT	PASS	npm:node_modules/@bramus/specificity
npm	@csstools/color-helpers	6.1.0	https://registry.npmjs.org/%40csstools%2Fcolor-helpers/6.1.0	MIT-0	PASS	npm:node_modules/@csstools/color-helpers
npm	@csstools/css-calc	3.2.1	https://registry.npmjs.org/%40csstools%2Fcss-calc/3.2.1	MIT	PASS	npm:node_modules/@csstools/css-calc
npm	@csstools/css-color-parser	4.1.9	https://registry.npmjs.org/%40csstools%2Fcss-color-parser/4.1.9	MIT	PASS	npm:node_modules/@csstools/css-color-parser
npm	@csstools/css-parser-algorithms	4.0.0	https://registry.npmjs.org/%40csstools%2Fcss-parser-algorithms/4.0.0	MIT	PASS	npm:node_modules/@csstools/css-parser-algorithms
npm	@csstools/css-syntax-patches-for-csstree	1.1.6	https://registry.npmjs.org/%40csstools%2Fcss-syntax-patches-for-csstree/1.1.6	MIT-0	PASS	npm:node_modules/@csstools/css-syntax-patches-for-csstree
npm	@csstools/css-tokenizer	4.0.0	https://registry.npmjs.org/%40csstools%2Fcss-tokenizer/4.0.0	MIT	PASS	npm:node_modules/@csstools/css-tokenizer
npm	@emnapi/core	1.11.1	https://registry.npmjs.org/%40emnapi%2Fcore/1.11.1	MIT	PASS	npm:node_modules/@emnapi/core
npm	@emnapi/runtime	1.11.1	https://registry.npmjs.org/%40emnapi%2Fruntime/1.11.1	MIT	PASS	npm:node_modules/@emnapi/runtime
npm	@emnapi/wasi-threads	1.2.2	https://registry.npmjs.org/%40emnapi%2Fwasi-threads/1.2.2	MIT	PASS	npm:node_modules/@emnapi/wasi-threads
npm	@exodus/bytes	1.15.1	https://registry.npmjs.org/%40exodus%2Fbytes/1.15.1	MIT	PASS	npm:node_modules/@exodus/bytes
npm	@jridgewell/sourcemap-codec	1.5.5	https://registry.npmjs.org/%40jridgewell%2Fsourcemap-codec/1.5.5	MIT	PASS	npm:node_modules/@jridgewell/sourcemap-codec
npm	@napi-rs/wasm-runtime	1.1.6	https://registry.npmjs.org/%40napi-rs%2Fwasm-runtime/1.1.6	MIT	PASS	npm:node_modules/@napi-rs/wasm-runtime
npm	@oxc-project/types	0.139.0	https://registry.npmjs.org/%40oxc-project%2Ftypes/0.139.0	MIT	PASS	npm:node_modules/@oxc-project/types
npm	@rolldown/binding-android-arm64	1.1.5	https://registry.npmjs.org/%40rolldown%2Fbinding-android-arm64/1.1.5	MIT	PASS	npm:node_modules/@rolldown/binding-android-arm64
npm	@rolldown/binding-darwin-arm64	1.1.5	https://registry.npmjs.org/%40rolldown%2Fbinding-darwin-arm64/1.1.5	MIT	PASS	npm:node_modules/@rolldown/binding-darwin-arm64
npm	@rolldown/binding-darwin-x64	1.1.5	https://registry.npmjs.org/%40rolldown%2Fbinding-darwin-x64/1.1.5	MIT	PASS	npm:node_modules/@rolldown/binding-darwin-x64
npm	@rolldown/binding-freebsd-x64	1.1.5	https://registry.npmjs.org/%40rolldown%2Fbinding-freebsd-x64/1.1.5	MIT	PASS	npm:node_modules/@rolldown/binding-freebsd-x64
npm	@rolldown/binding-linux-arm-gnueabihf	1.1.5	https://registry.npmjs.org/%40rolldown%2Fbinding-linux-arm-gnueabihf/1.1.5	MIT	PASS	npm:node_modules/@rolldown/binding-linux-arm-gnueabihf
npm	@rolldown/binding-linux-arm64-gnu	1.1.5	https://registry.npmjs.org/%40rolldown%2Fbinding-linux-arm64-gnu/1.1.5	MIT	PASS	npm:node_modules/@rolldown/binding-linux-arm64-gnu
npm	@rolldown/binding-linux-arm64-musl	1.1.5	https://registry.npmjs.org/%40rolldown%2Fbinding-linux-arm64-musl/1.1.5	MIT	PASS	npm:node_modules/@rolldown/binding-linux-arm64-musl
npm	@rolldown/binding-linux-ppc64-gnu	1.1.5	https://registry.npmjs.org/%40rolldown%2Fbinding-linux-ppc64-gnu/1.1.5	MIT	PASS	npm:node_modules/@rolldown/binding-linux-ppc64-gnu
npm	@rolldown/binding-linux-s390x-gnu	1.1.5	https://registry.npmjs.org/%40rolldown%2Fbinding-linux-s390x-gnu/1.1.5	MIT	PASS	npm:node_modules/@rolldown/binding-linux-s390x-gnu
npm	@rolldown/binding-linux-x64-gnu	1.1.5	https://registry.npmjs.org/%40rolldown%2Fbinding-linux-x64-gnu/1.1.5	MIT	PASS	npm:node_modules/@rolldown/binding-linux-x64-gnu
npm	@rolldown/binding-linux-x64-musl	1.1.5	https://registry.npmjs.org/%40rolldown%2Fbinding-linux-x64-musl/1.1.5	MIT	PASS	npm:node_modules/@rolldown/binding-linux-x64-musl
