deny_id	capability	validation_id	rust_source_status	frontend_source_status	task_status
P4-D-CALENDAR-SOURCE	CALENDAR	P4-Z-CALENDAR-SOURCE	PASS	PASS	PASS_BOTH_PUBLIC_SOURCE_CLOSURES
P4-D-COMPACT-SOURCE	COMPACT	P4-Z-COMPACT-SOURCE	PASS	PASS	PASS_BOTH_PUBLIC_SOURCE_CLOSURES
P4-D-DISCORD-SOURCE	DISCORD	P4-Z-DISCORD-SOURCE	PASS	PASS	PASS_BOTH_PUBLIC_SOURCE_CLOSURES
P4-D-EMAIL-SOURCE	EMAIL	P4-Z-EMAIL-SOURCE	PASS	PASS	PASS_BOTH_PUBLIC_SOURCE_CLOSURES
P4-D-LOCAL_RESET-SOURCE	LOCAL_RESET	P4-Z-LOCAL_RESET-SOURCE	PASS	PASS	PASS_BOTH_PUBLIC_SOURCE_CLOSURES
P4-D-MACOS-SOURCE	MACOS	P4-Z-MACOS-SOURCE	PASS	PASS	PASS_BOTH_PUBLIC_SOURCE_CLOSURES
P4-D-NATIVE_APP-SOURCE	NATIVE_APP	P4-Z-NATIVE_APP-SOURCE	PASS	PASS	PASS_BOTH_PUBLIC_SOURCE_CLOSURES
P4-D-PERSISTENT_ACTIVE_WATCH-SOURCE	PERSISTENT_ACTIVE_WATCH	P4-Z-PERSISTENT_ACTIVE_WATCH-SOURCE	PASS	PASS	PASS_BOTH_PUBLIC_SOURCE_CLOSURES
P4-D-PERSISTENT_HISTORY-SOURCE	PERSISTENT_HISTORY	P4-Z-PERSISTENT_HISTORY-SOURCE	PASS	PASS	PASS_BOTH_PUBLIC_SOURCE_CLOSURES
P4-D-PERSISTENT_PREFS-SOURCE	PERSISTENT_PREFS	P4-Z-PERSISTENT_PREFS-SOURCE	PASS	PASS	PASS_BOTH_PUBLIC_SOURCE_CLOSURES
P4-D-PERSISTENT_SELECTION-SOURCE	PERSISTENT_SELECTION	P4-Z-PERSISTENT_SELECTION-SOURCE	PASS	PASS	PASS_BOTH_PUBLIC_SOURCE_CLOSURES
P4-D-PERSISTENT_SUBSCRIPTION_IDENTITY-SOURCE	PERSISTENT_SUBSCRIPTION_IDENTITY	P4-Z-PERSISTENT_SUBSCRIPTION_IDENTITY-SOURCE	PASS	PASS	PASS_BOTH_PUBLIC_SOURCE_CLOSURES
P4-D-QUIET_SNOOZE-SOURCE	QUIET_SNOOZE	P4-Z-QUIET_SNOOZE-SOURCE	PASS	PASS	PASS_BOTH_PUBLIC_SOURCE_CLOSURES
P4-D-SAVED_VIEWS-SOURCE	SAVED_VIEWS	P4-Z-SAVED_VIEWS-SOURCE	PASS	PASS	PASS_BOTH_PUBLIC_SOURCE_CLOSURES
P4-D-SHARE_LINKS-SOURCE	SHARE_LINKS	P4-Z-SHARE_LINKS-SOURCE	PASS	PASS	PASS_BOTH_PUBLIC_SOURCE_CLOSURES
P4-D-SYSTEM_NOTIFICATIONS-SOURCE	SYSTEM_NOTIFICATIONS	P4-Z-SYSTEM_NOTIFICATIONS-SOURCE	PASS	PASS	PASS_BOTH_PUBLIC_SOURCE_CLOSURES
P4-D-WAITLIST-SOURCE	WAITLIST	P4-Z-WAITLIST-SOURCE	PASS	PASS	PASS_BOTH_PUBLIC_SOURCE_CLOSURES
P4-D-WEB_PUSH-SOURCE	WEB_PUSH	P4-Z-WEB_PUSH-SOURCE	PASS	PASS	PASS_BOTH_PUBLIC_SOURCE_CLOSURES
